BatchSize,J,MinVanillaIw,MinNormIw,ESSClassic,eRenyi2,MaxVanillaIw,AvgEpLen,Bound,EpsThisIter,ESSRenyi,VarNormIw,AvgVanillaIw,VarJ,AvgDiscRet,IterType,AvgRet,VanillaAvgRet,VarRet,MaxNormIw,VarDiscRet,Delta,VarVanillaIw,AvgNormIw
500,-7.6616163,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.208826,100,500.0,2.179301e-19,1.0,6.931252,-7.312994479076663,2,-7.312994479076663,-7.312994479076663,44.2128152291517,0.005,44.2128152291517,0.9,,0.0049999994
500,-8.014469,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.461264,100,500.0,5.4391416e-20,1.0,6.985778,-8.720174628999352,2,-8.720174628999352,-8.720174628999352,50.072455836278024,0.0033333334,50.072455836278024,0.9,,0.0033333336
500,-8.042713,1.0,0.0025,400.0,1.0,1.0,200.0,-8.429649,100,500.0,5.434597e-20,1.0,6.9533668,-8.127446443656659,2,-8.127446443656659,-8.127446443656659,47.458971268633945,0.0025,47.458971268633945,0.9,,0.0024999997
500,-2.9948092,,,11.083444658882858,52.448425,74.38347,200.0,-5.5012074,100,9.533174679832191,0.00017680295,1.2619176,35.111004,-7.568980425214984,1,-7.568980425214984,-7.568980425214984,48.54493409150397,0.11788958,48.54493409150397,0.9,70.38683,0.0019999999
500,-8.155441,1.0,0.01,100.0,1.0,1.0,200.0,-8.88055,100,500.0,3.5044917e-18,1.0,6.3801336,-8.155442027852866,2,-8.155442027852866,-8.155442027852866,41.117281976445966,0.01,41.117281976445966,0.9,,0.009999998
500,-7.331628,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-7.879857,100,500.0,2.179301e-19,1.0,6.543413,-6.507814342420107,2,-6.507814342420107,-6.507814342420107,44.009152249852335,0.005,44.009152249852335,0.9,,0.0049999994
500,-7.460394,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-7.908021,100,500.0,5.4391416e-20,1.0,6.5079265,-7.717926078052417,2,-7.717926078052417,-7.717926078052417,41.74477923837568,0.0033333334,41.74477923837568,0.9,,0.0033333336
500,-7.667535,1.0,0.0025,400.0,1.0,1.0,200.0,-8.055191,100,500.0,5.434597e-20,1.0,6.5604496,-8.288955525785786,2,-8.288955525785786,-8.288955525785786,45.03411723959088,0.0025,45.03411723959088,0.9,,0.0024999997
500,-6.0885177,,,31.4062652573024,14.992192,20.615671,200.0,-7.43105,100,33.350692883977324,5.980117e-05,0.9068557,25.179625,-8.076783087077539,1,-8.076783087077539,-8.076783087077539,53.34644228083451,0.045466267,53.34644228083451,0.9,12.294929,0.0019999999
500,-7.1519675,1.0,0.01,100.0,1.0,1.0,200.0,-7.9216003,100,500.0,3.5044917e-18,1.0,6.981553,-7.151967560358417,2,-7.151967560358417,-7.151967560358417,49.23443483196435,0.01,49.23443483196435,0.9,,0.009999998
500,-7.414285,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-7.958498,100,500.0,2.179301e-19,1.0,6.8918214,-7.676602017731124,2,-7.676602017731124,-7.676602017731124,46.58049812053212,0.005,46.58049812053212,0.9,,0.0049999994
500,-7.8756466,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.322633,100,500.0,5.4391416e-20,1.0,6.960536,-8.798370389389829,2,-8.798370389389829,-8.798370389389829,49.571347621469215,0.0033333334,49.571347621469215,0.9,,0.0033333336
500,-7.737114,1.0,0.0025,400.0,1.0,1.0,200.0,-8.124215,100,500.0,5.434597e-20,1.0,6.935867,-7.321515005067587,2,-7.321515005067587,-7.321515005067587,47.32073996093264,0.0025,47.32073996093264,0.9,,0.0024999997
500,-7.4569635,4.2081272e-05,8.6958515e-08,388.34831630773135,1.2657301,1.6075425,200.0,-7.846493,100,395.02891111966284,1.1523201e-06,0.96784705,7.781613,-6.866373515946261,1,-6.866373515946261,-6.866373515946261,41.982260220329316,0.0033218937,41.982260220329316,0.9,0.26985258,0.0020000003
500,-7.009665,1.0,0.01,100.0,1.0,1.0,200.0,-7.774995,100,500.0,3.5044917e-18,1.0,6.360871,-7.0096653127186235,2,-7.0096653127186235,-7.0096653127186235,40.86936957789057,0.01,40.86936957789057,0.9,,0.009999998
500,-7.6067257,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.147896,100,500.0,2.179301e-19,1.0,6.5755854,-8.203786378824299,2,-8.203786378824299,-8.203786378824299,45.76060936032998,0.005,45.76060936032998,0.9,,0.0049999994
500,-7.6059,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.053433,100,500.0,5.4391416e-20,1.0,6.664154,-7.604247551932069,2,-7.604247551932069,-7.604247551932069,47.228478032333975,0.0033333334,47.228478032333975,0.9,,0.0033333336
500,-7.57216,1.0,0.0025,400.0,1.0,1.0,200.0,-7.9597354,100,500.0,5.434597e-20,1.0,6.86873,-7.470942422741781,2,-7.470942422741781,-7.470942422741781,56.031628910493595,0.0025,56.031628910493595,0.9,,0.0024999997
500,-1.5732809,,,3.157081944495282,202.70764,206.93112,200.0,-6.508841,100,2.4666065672195456,0.00063075795,1.2737126,18.533262,-7.205500580852305,1,-7.205500580852305,-7.205500580852305,52.26477971361676,0.3249259,52.26477971361676,0.9,255.82649,0.0020000003
500,-8.021275,1.0,0.01,100.0,1.0,1.0,200.0,-8.785989,100,500.0,3.5044917e-18,1.0,7.184629,-8.021274690917448,2,-8.021274690917448,-8.021274690917448,52.14029360469264,0.01,52.14029360469264,0.9,,0.009999998
500,-7.8753734,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.416108,100,500.0,2.179301e-19,1.0,6.9665775,-7.729472354320843,2,-7.729472354320843,-7.729472354320843,45.86358379509311,0.005,45.86358379509311,0.9,,0.0049999994
500,-7.9268985,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.370785,100,500.0,5.4391416e-20,1.0,6.9689226,-8.029943854614237,2,-8.029943854614237,-8.029943854614237,49.1063758752794,0.0033333334,49.1063758752794,0.9,,0.0033333336
500,-7.548132,1.0,0.0025,400.0,1.0,1.0,200.0,-7.9325485,100,500.0,5.434597e-20,1.0,6.862729,-6.411837927991721,2,-6.411837927991721,-6.411837927991721,41.38282480693541,0.0025,41.38282480693541,0.9,,0.0024999997
500,-7.3909955,0.05538091,9.924114e-05,413.5238430479651,1.1266658,1.3616701,200.0,-7.755955,100,443.78731156541875,8.381569e-07,1.1160878,7.286849,-7.590965634458585,1,-7.590965634458585,-7.590965634458585,39.64072543015472,0.0024400773,39.64072543015472,0.9,0.26101294,0.0019999999
500,-8.090189,1.0,0.01,100.0,1.0,1.0,200.0,-8.835112,100,500.0,3.5044917e-18,1.0,7.27795,-8.090189757608504,2,-8.090189757608504,-8.090189757608504,53.503581505985565,0.01,53.503581505985565,0.9,,0.009999998
500,-8.891283,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-9.435542,100,500.0,2.179301e-19,1.0,7.3134155,-9.69237592875681,2,-9.69237592875681,-9.69237592875681,53.252594647573204,0.005,53.252594647573204,0.9,,0.0049999994
500,-8.383358,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.8284445,100,500.0,5.4391416e-20,1.0,7.178236,-7.367507942737026,2,-7.367507942737026,-7.367507942737026,46.52642277074514,0.0033333334,46.52642277074514,0.9,,0.0033333336
500,-8.223908,1.0,0.0025,400.0,1.0,1.0,200.0,-8.6093645,100,500.0,5.434597e-20,1.0,7.061517,-7.745560926964032,2,-7.745560926964032,-7.745560926964032,45.02403505763996,0.0025,45.02403505763996,0.9,,0.0024999997
500,-8.151526,0.8241339,0.0013351236,183.05608711988654,1.1345282,7.664287,200.0,-8.518782,100,440.71184619872076,6.9394914e-06,1.2345432,10.014877,-8.092551807438378,1,-8.092551807438378,-8.092551807438378,45.868717119204966,0.0124163935,45.868717119204966,0.9,2.644114,0.0019999999
500,-7.452144,1.0,0.01,100.0,1.0,1.0,200.0,-8.211413,100,500.0,3.5044917e-18,1.0,6.9542537,-7.4521443096457824,2,-7.4521443096457824,-7.4521443096457824,48.8501421796531,0.01,48.8501421796531,0.9,,0.009999998
500,-7.559528,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.102498,100,500.0,2.179301e-19,1.0,6.617061,-7.666911209148409,2,-7.666911209148409,-7.666911209148409,39.58213101416735,0.005,39.58213101416735,0.9,,0.0049999994
500,-8.19209,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.635424,100,500.0,5.4391416e-20,1.0,6.6813436,-9.457213601406847,2,-9.457213601406847,-9.457213601406847,44.393156968622016,0.0033333334,44.393156968622016,0.9,,0.0033333336
500,-7.9657135,1.0,0.0025,400.0,1.0,1.0,200.0,-8.349651,100,500.0,5.434597e-20,1.0,6.7253,-7.28658446011259,2,-7.28658446011259,-7.28658446011259,46.85114742169929,0.0025,46.85114742169929,0.9,,0.0024999997
500,-7.0952864,0.7349766,0.0010785917,184.00744667378362,1.9053264,6.4428706,200.0,-7.5729203,100,262.4222331727214,6.8828926e-06,1.362845,10.260155,-7.975178978846518,1,-7.975178978846518,-7.975178978846518,50.72387356646254,0.009455031,50.72387356646254,0.9,3.1959789,0.0019999996
500,-7.8552256,1.0,0.01,100.0,1.0,1.0,200.0,-8.572248,100,500.0,3.5044917e-18,1.0,6.640107,-7.855225824885475,2,-7.855225824885475,-7.855225824885475,44.53638574567164,0.01,44.53638574567164,0.9,,0.009999998
500,-7.578908,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.126734,100,500.0,2.179301e-19,1.0,6.8946414,-7.302589840822202,2,-7.302589840822202,-7.302589840822202,51.341852053745086,0.005,51.341852053745086,0.9,,0.0049999994
500,-7.6579957,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.105294,100,500.0,5.4391416e-20,1.0,6.975362,-7.816170608885897,2,-7.816170608885897,-7.816170608885897,51.371050050463474,0.0033333334,51.371050050463474,0.9,,0.0033333336
500,-7.785043,1.0,0.0025,400.0,1.0,1.0,200.0,-8.172881,100,500.0,5.434597e-20,1.0,6.994708,-8.166187574653875,2,-8.166187574653875,-8.166187574653875,50.0434762450088,0.0025,50.0434762450088,0.9,,0.0024999997
500,-7.8069563,0.82426274,0.0015312039,426.58753327279635,1.1342124,1.8670633,200.0,-8.176395,100,440.83454841329456,6.897493e-07,1.0766205,7.4788804,-8.236205372317666,1,-8.236205372317666,-8.236205372317666,51.50918594591424,0.0034683777,51.50918594591424,0.9,0.19987412,0.002
500,-7.200956,1.0,0.01,100.0,1.0,1.0,200.0,-7.969785,100,500.0,3.5044917e-18,1.0,7.0616817,-7.20095588872745,2,-7.20095588872745,-7.20095588872745,50.37106323073273,0.01,50.37106323073273,0.9,,0.009999998
500,-7.5499787,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.093623,100,500.0,2.179301e-19,1.0,7.0415206,-7.899002406469889,2,-7.899002406469889,-7.899002406469889,49.550543590341825,0.005,49.550543590341825,0.9,,0.0049999994
500,-7.7545967,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.202095,100,500.0,5.4391416e-20,1.0,7.0787745,-8.16383144178769,2,-8.16383144178769,-8.16383144178769,51.42414083421488,0.0033333334,51.42414083421488,0.9,,0.0033333336
500,-7.4915276,1.0,0.0025,400.0,1.0,1.0,200.0,-7.8790727,100,500.0,5.434597e-20,1.0,6.901848,-6.702321479838073,2,-6.702321479838073,-6.702321479838073,39.78225266480105,0.0025,39.78225266480105,0.9,,0.0024999997
500,-7.34006,5.4179607e-05,1.0361024e-07,345.1723639871154,1.2467867,1.5757164,200.0,-7.727107,100,401.0309017139147,1.7978014e-06,1.045835,8.1515665,-7.525270825724461,1,-7.525270825724461,-7.525270825724461,44.51687172535956,0.0030133175,44.51687172535956,0.9,0.49159563,0.002
500,-8.418848,1.0,0.01,100.0,1.0,1.0,200.0,-9.194503,100,500.0,3.5044917e-18,1.0,6.9740534,-8.418848343196014,2,-8.418848343196014,-8.418848343196014,49.1287092440173,0.01,49.1287092440173,0.9,,0.009999998
500,-8.398212,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.946683,100,500.0,2.179301e-19,1.0,7.2053456,-8.377576500530989,2,-8.377576500530989,-8.377576500530989,55.75327596800696,0.005,55.75327596800696,0.9,,0.0049999994
500,-8.368169,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.81652,100,500.0,5.4391416e-20,1.0,7.0968227,-8.308082095879616,2,-8.308082095879616,-8.308082095879616,47.732577251430854,0.0033333334,47.732577251430854,0.9,,0.0033333336
500,-8.050457,1.0,0.0025,400.0,1.0,1.0,200.0,-8.438741,100,500.0,5.434597e-20,1.0,7.055549,-7.097323015194221,2,-7.097323015194221,-7.097323015194221,47.2900265114534,0.0025,47.2900265114534,0.9,,0.0024999997
500,-7.385365,0.7474427,0.0011003987,226.99575584618046,1.6309123,4.990858,200.0,-7.8288813,100,306.5768765106625,4.8203783e-06,1.3584944,10.007844,-7.4677357684369134,1,-7.4677357684369134,-7.4677357684369134,49.12478128844886,0.0073476317,49.12478128844886,0.9,2.2240105,0.0020000006
500,-8.644763,1.0,0.01,100.0,1.0,1.0,200.0,-9.409083,100,500.0,3.5044917e-18,1.0,6.997587,-8.644763567383846,2,-8.644763567383846,-8.644763567383846,49.460839408127676,0.01,49.460839408127676,0.9,,0.009999998
500,-8.195927,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.7363825,100,500.0,2.179301e-19,1.0,6.9081798,-7.74708975849994,2,-7.74708975849994,-7.74708975849994,46.54218085521806,0.005,46.54218085521806,0.9,,0.0049999994
500,-8.078154,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.519434,100,500.0,5.4391416e-20,1.0,6.963965,-7.8426077894929085,2,-7.8426077894929085,-7.8426077894929085,50.465938639623374,0.0033333334,50.465938639623374,0.9,,0.0033333336
500,-7.995001,1.0,0.0025,400.0,1.0,1.0,200.0,-8.377161,100,500.0,5.434597e-20,1.0,6.9463773,-7.7455427159153905,2,-7.7455427159153905,-7.7455427159153905,47.91440826404995,0.0025,47.91440826404995,0.9,,0.0024999997
500,-8.054366,0.8385839,0.0015976236,443.74137581187523,1.1030422,1.7113328,200.0,-8.417393,100,453.29179576459023,5.0814623e-07,1.0497891,7.1684976,-8.55089611699542,1,-8.55089611699542,-8.55089611699542,48.619401251233185,0.0032603366,48.619401251233185,0.9,0.14000149,0.0020000006
500,-8.117568,1.0,0.01,100.0,1.0,1.0,200.0,-8.88353,100,500.0,3.5044917e-18,1.0,7.0281396,-8.117568163813475,2,-8.117568163813475,-8.117568163813475,49.89368571082703,0.01,49.89368571082703,0.9,,0.009999998
500,-8.077965,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.619581,100,500.0,2.179301e-19,1.0,7.0442476,-8.03836154477126,2,-8.03836154477126,-8.03836154477126,50.34845901330391,0.005,50.34845901330391,0.9,,0.0049999994
500,-7.8224382,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.264667,100,500.0,5.4391416e-20,1.0,6.9349365,-7.311384430005153,2,-7.311384430005153,-7.311384430005153,45.09637309533302,0.0033333334,45.09637309533302,0.9,,0.0033333336
500,-8.060953,1.0,0.0025,400.0,1.0,1.0,200.0,-8.4439335,100,500.0,5.434597e-20,1.0,6.9862366,-8.776502284753137,2,-8.776502284753137,-8.776502284753137,50.77504466260895,0.0025,50.77504466260895,0.9,,0.0024999997
500,-7.885109,2.9851108e-05,5.475126e-08,348.28287338521596,1.2709216,1.6162062,200.0,-8.271281,100,393.4153017330123,1.7459508e-06,1.0904263,8.340497,-8.156967918525988,1,-8.156967918525988,-8.156967918525988,53.544040545617726,0.0029643567,53.544040545617726,0.9,0.5189967,0.0019999999
500,-9.7486515,1.0,0.01,100.0,1.0,1.0,200.0,-10.506983,100,500.0,3.5044917e-18,1.0,7.565199,-9.748651005967291,2,-9.748651005967291,-9.748651005967291,57.81033257497565,0.01,57.81033257497565,0.9,,0.009999998
500,-8.218601,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.754823,100,500.0,2.179301e-19,1.0,7.177852,-6.6885526750750115,2,-6.6885526750750115,-6.6885526750750115,41.544235175866966,0.005,41.544235175866966,0.9,,0.0049999994
500,-7.8127384,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-8.250561,100,500.0,5.4391416e-20,1.0,7.198935,-7.001009912042992,2,-7.001009912042992,-7.001009912042992,51.96215626133304,0.0033333334,51.96215626133304,0.9,,0.0033333336
500,-7.703563,1.0,0.0025,400.0,1.0,1.0,200.0,-8.082728,100,500.0,5.434597e-20,1.0,6.9615974,-7.376038461104411,2,-7.376038461104411,-7.376038461104411,38.62458450916459,0.0025,38.62458450916459,0.9,,0.0024999997
500,-7.5768213,0.08410599,0.00015227043,439.0022906739197,1.0814888,1.2708343,200.0,-7.9295044,100,462.3256181035089,5.568982e-07,1.1046923,7.4375224,-7.484197145649782,1,-7.484197145649782,-7.484197145649782,50.22344316976151,0.002300793,50.22344316976151,0.9,0.16990203,0.002
500,-7.1927567,1.0,0.01,100.0,1.0,1.0,200.0,-7.9531384,100,500.0,3.5044917e-18,1.0,6.6479764,-7.192757282389553,2,-7.192757282389553,-7.192757282389553,44.64201576304777,0.01,44.64201576304777,0.9,,0.009999998
500,-7.5471582,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.0945215,100,500.0,2.179301e-19,1.0,6.7661114,-7.90155999054441,2,-7.90155999054441,-7.90155999054441,47.589627059823066,0.005,47.589627059823066,0.9,,0.0049999994
500,-7.5139933,1.0,0.0033333334,299.999969473632,1.0,1.0,200.0,-7.960913,100,500.0,5.4391416e-20,1.0,6.6520786,-7.447661203365279,2,-7.447661203365279,-7.447661203365279,41.5993047625462,0.0033333334,41.5993047625462,0.9,,0.0033333336
500,-7.7528286,1.0,0.0025,400.0,1.0,1.0,200.0,-8.139873,100,500.0,5.434597e-20,1.0,6.793347,-8.469337054495998,2,-8.469337054495998,-8.469337054495998,51.6801042513463,0.0025,51.6801042513463,0.9,,0.0024999997
500,-8.018057,0.07390994,0.00013293004,473.65222824351076,1.0415744,1.1782745,200.0,-8.371363,100,480.04253917001694,2.2295339e-07,1.1120126,7.154223,-9.34219728995744,1,-9.34219728995744,-9.34219728995744,58.28863226978131,0.0021191747,58.28863226978131,0.9,0.06892448,0.0019999999
500,-7.6163387,1.0,0.01,100.0,1.0,1.0,200.0,-8.388759,100,500.0,3.5044917e-18,1.0,6.6585336,-7.616338492575525,2,-7.616338492575525,-7.616338492575525,44.783912906596825,0.01,44.783912906596825,0.9,,0.009999998
500,-7.579567,1.0,0.005,200.00000010221265,1.0,1.0,200.0,-8.127404,100,500.0,2.179301e-19,1.0,6.6519666,-7.542794888102951,2,-7.542794888102951,-7.542794888102951,44.604579243192596,0.005,44.604579243192596,0.9,,0.0049999994
