EpsThisIter,Delta,AvgEpLen,VarNormIw,J,BatchSize,AvgNormIw,ESSClassic,AvgVanillaIw,VarDiscRet,MaxVanillaIw,AvgDiscRet,IterType,VarRet,ESSRenyi,MaxNormIw,VanillaAvgRet,VarVanillaIw,AvgRet,MinVanillaIw,MinNormIw,eRenyi2,Bound,VarJ
100,0.9,200.0,0.000384536,-27.667519,100,0.01,20.80339937189949,0.6388872,5444792.040170928,4.755391,-2529.9371434350005,1,5444792.040170928,29.11485254507078,0.0744324,-2529.9371434350005,1.5695865,-2529.9371434350005,3.2122998e-25,5.0279606e-27,3.434673,-383.2517,71.34174
100,0.9,200.0,8.593506e-06,-11.707576,100,0.01,92.1594703762739,1.0461391,69939.05143736498,1.2841244,-36.84147631533067,1,69939.05143736498,91.9394720877943,0.012274891,-36.84147631533067,0.094047934,-36.84147631533067,0.072108984,0.00068928674,1.0876721,-103.937195,20.860392
100,0.9,200.0,0.008853634,-0.75846064,100,0.01,1.1280195759114038,0.14059402,62.94239281804546,13.225517,-8.79154618248527,1,62.94239281804546,3.763828059402506,0.94068843,-8.79154618248527,1.7500683,-8.79154618248527,,,26.568695,-5.590545,4.2913275
100,0.9,200.0,nan,nan,200,nan,nan,inf,56.00899852316408,inf,-8.36192844886835,,62.94239281804546,nan,nan,-8.79154618248527,nan,-8.79154618248527,0.07561141,nan,nan,nan,nan
100,0.9,200.0,6.763813e-05,-5.298888,200,0.005,54.17121485264885,1.027818,72.40154028712563,5.2764273,-9.61743581392328,1,72.40154028712563,53.4412750158933,0.025668101,-9.61743581392328,2.8581436,-9.61743581392328,3.7719898e-22,1.8349502e-24,3.7424257,-6.609004,9.184606
100,0.9,200.0,3.5044917e-18,-7.3303633,200,0.009999998,100.0,1.0,45.89518091556896,1.0,-7.3303633512031094,2,45.89518091556896,200.0,0.01,-7.3303633512031094,,-7.3303633512031094,1.0,0.01,1.0,-8.088476,6.7406397
100,0.9,200.0,0.0049996236,-9.288617,300,0.005,,1.3256099e+19,45.923311286117396,2.6511208e+21,-6.95936420966389,,72.40154028712563,nan,0.9999626,-9.61743581392328,inf,-9.61743581392328,0.18952218,7.1484897e-23,nan,-inf,0.0052509573
100,0.9,200.0,3.3555058e-05,-5.9242616,300,0.0033333334,74.81504979534776,1.0241696,61.3505857120601,5.8830533,-9.077900225096544,1,61.3505857120601,71.83519043509149,0.019147394,-9.077900225096544,3.167701,-9.077900225096544,,,4.176226,-7.054264,11.433214
100,0.9,200.0,3.5044917e-18,-7.048891,300,0.009999998,100.0,1.0,50.163258269655614,1.0,-7.048891580931142,2,50.163258269655614,300.0,0.01,-7.048891580931142,,-7.048891580931142,1.0,0.01,1.0,-7.849269,7.0471
100,0.9,200.0,2.179301e-19,-7.299185,300,0.0049999994,200.00000010221265,1.0,53.14097987241628,1.0,-7.549478432618281,2,53.14097987241628,300.0,0.005,-7.549478432618281,,-7.549478432618281,1.0,0.005,1.0,-7.8651376,7.155295
100,0.9,200.0,nan,nan,400,nan,nan,inf,47.73715928709795,inf,-7.746128158820834,,61.3505857120601,nan,nan,-9.077900225096544,nan,-9.077900225096544,0.16997977,nan,nan,nan,nan
100,0.9,200.0,0.0005565783,-1.7172906,400,0.0025,4.452861460378371,0.6407727,62.739952346802056,80.78874,-7.980217054757563,1,62.739952346802056,6.994012532015215,0.31520048,-7.980217054757563,36.564045,-7.980217054757563,,,57.191776,-5.3387604,10.713315
100,0.9,200.0,3.5044917e-18,-7.6480536,400,0.009999998,100.0,1.0,55.058897545969,1.0,-7.6480540337540734,2,55.058897545969,400.0,0.01,-7.6480540337540734,,-7.6480540337540734,1.0,0.01,1.0,-8.420808,7.382974
