AvgNormIw,VarRet,ESSRenyi,MinVanillaIw,AvgRet,VarVanillaIw,BatchSize,AvgEpLen,Delta,IterType,MinNormIw,VarJ,VanillaAvgRet,AvgVanillaIw,ESSClassic,AvgDiscRet,VarNormIw,VarDiscRet,eRenyi2,MaxVanillaIw,EpsThisIter,MaxNormIw,J,Bound
0.009999998,46.58002000369433,400.0,1.0,-8.483609901114482,,400,200.0,0.9,2,0.01,6.7907453,-8.483609901114482,1.0,100.0,-8.483609901114482,3.5044917e-18,46.58002000369433,1.0,1.0,100,0.01,-8.483609,-9.256199
0.0049999994,51.89122230921881,400.0,1.0,-7.5342002624912,,400,200.0,0.9,2,0.005,6.9977574,-7.5342002624912,1.0,200.00000010221265,-7.5342002624912,2.179301e-19,51.89122230921881,1.0,1.0,100,0.005,-8.008904,-8.555208
0.0033333336,62.47073405104461,400.0,1.0,-8.257095111743707,,400,200.0,0.9,2,0.0033333334,7.298957,-8.257095111743707,1.0,299.999969473632,-8.257095111743707,5.4391416e-20,62.47073405104461,1.0,1.0,100,0.0033333334,-8.091636,-8.545507
nan,43.1900479646658,nan,0.008616667,-7.627700174120098,nan,500,200.0,0.9,,nan,nan,-7.627700174120098,inf,nan,-7.812090718414844,nan,55.332163964041506,nan,inf,100,nan,nan,nan
0.002,53.157411321268796,8.912808939682277,,-8.721264917861372,79.79306,500,200.0,0.9,1,,22.763762,-8.721264917861372,1.1923003,8.769224755562963,-8.721264917861372,0.00022451933,53.157411321268796,56.099037,85.50999,100,0.143437,-3.0751073,-5.6990004
0.009999998,50.08470531364994,500.0,1.0,-8.109394884521464,,500,200.0,0.9,2,0.01,7.04158,-8.109394884521464,1.0,100.0,-8.109394884521464,3.5044917e-18,50.08470531364994,1.0,1.0,100,0.01,-8.109396,-8.902108
0.0049999994,59.165892373883416,500.0,1.0,-8.301649137941892,,500,200.0,0.9,2,0.005,7.354474,-8.301649137941892,1.0,200.00000010221265,-8.301649137941892,2.179301e-19,59.165892373883416,1.0,1.0,100,0.005,-8.205522,-8.766054
0.0033333336,50.74908312198609,500.0,1.0,-7.462148086456823,,500,200.0,0.9,2,0.0033333334,7.275222,-7.462148086456823,1.0,299.999969473632,-7.462148086456823,5.4391416e-20,50.74908312198609,1.0,1.0,100,0.0033333334,-7.9577312,-8.415404
0.0024999997,60.69916921283075,500.0,1.0,-7.464420107347414,,500,200.0,0.9,2,0.0025,7.4003587,-7.464420107347414,1.0,400.0,-7.464420107347414,5.434597e-20,60.69916921283075,1.0,1.0,100,0.0025,-7.834403,-8.23076
0.0019999999,58.66430378368117,5.276692624200467,,-8.242705988087982,46.03658,500,200.0,0.9,1,,4.800435,-8.242705988087982,0.41729122,1.887869465666463,-8.242705988087982,0.0010575103,58.66430378368117,94.756325,133.13855,100,0.63810855,-0.3065137,-3.7574325
0.009999998,55.511421131759725,500.0,1.0,-7.767655180957431,,500,200.0,0.9,2,0.01,7.413252,-7.767655180957431,1.0,100.0,-7.767655180957431,3.5044917e-18,55.511421131759725,1.0,1.0,100,0.01,-7.7676554,-8.550805
0.0049999994,60.819279845345896,500.0,1.0,-8.718511088390283,,500,200.0,0.9,2,0.005,7.603271,-8.718511088390283,1.0,200.00000010221265,-8.718511088390283,2.179301e-19,60.819279845345896,1.0,1.0,100,0.005,-8.243084,-8.800334
0.0033333336,47.91088198182678,500.0,1.0,-7.615755833837283,,500,200.0,0.9,2,0.0033333334,7.3782024,-7.615755833837283,1.0,299.999969473632,-7.615755833837283,5.4391416e-20,47.91088198182678,1.0,1.0,100,0.0033333334,-8.033975,-8.492041
0.0024999997,55.042313898886924,500.0,1.0,-7.57617496336697,,500,200.0,0.9,2,0.0025,7.381779,-7.57617496336697,1.0,400.0,-7.57617496336697,5.434597e-20,55.042313898886924,1.0,1.0,100,0.0025,-7.919524,-8.316221
0.002,57.62379714754336,11.369098970803018,,-8.948166226556754,44.874866,500,200.0,0.9,1,,26.02857,-8.948166226556754,0.9240438,9.354470506962853,-8.948166226556754,0.00021022199,57.62379714754336,43.97886,61.94893,100,0.13408224,-3.6703832,-6.023404
0.009999998,49.1863778660633,500.0,1.0,-6.643273958957861,,500,200.0,0.9,2,0.01,6.9781456,-6.643273958957861,1.0,100.0,-6.643273958957861,3.5044917e-18,49.1863778660633,1.0,1.0,100,0.01,-6.6432743,-7.39851
0.0049999994,46.336055899582405,500.0,1.0,-8.47613476923426,,500,200.0,0.9,2,0.005,6.9371066,-8.47613476923426,1.0,200.00000010221265,-8.47613476923426,2.179301e-19,46.336055899582405,1.0,1.0,100,0.005,-7.5597043,-8.094994
0.0033333336,52.327418572739,500.0,1.0,-8.568939565715821,,500,200.0,0.9,2,0.0033333334,7.041072,-8.568939565715821,1.0,299.999969473632,-8.568939565715821,5.4391416e-20,52.327418572739,1.0,1.0,100,0.0033333334,-7.8961163,-8.350806
0.0024999997,45.26626489435574,500.0,1.0,-8.24115506237196,,500,200.0,0.9,2,0.0025,6.957603,-8.24115506237196,1.0,400.0,-8.24115506237196,5.434597e-20,45.26626489435574,1.0,1.0,100,0.0025,-7.982376,-8.379024
0.002,44.746527301114924,6.895404512125616,,-7.355019947575472,124.99611,500,200.0,0.9,1,,13.044621,-7.355019947575472,1.2965838,6.648602023903049,-7.355019947575472,0.0002974099,44.746527301114924,72.51206,102.54468,100,0.15817672,-1.9080994,-4.929125
0.009999998,58.60322015782603,500.0,1.0,-9.33190928672334,,500,200.0,0.9,2,0.01,7.616901,-9.33190928672334,1.0,100.0,-9.33190928672334,3.5044917e-18,58.60322015782603,1.0,1.0,100,0.01,-9.331909,-10.1174345
0.0049999994,50.8047548174109,500.0,1.0,-7.428411191423521,,500,200.0,0.9,2,0.005,7.420429,-7.428411191423521,1.0,200.00000010221265,-7.428411191423521,2.179301e-19,50.8047548174109,1.0,1.0,100,0.005,-8.380159,-8.93561
0.0033333336,52.230417304032734,500.0,1.0,-7.448809325676416,,500,200.0,0.9,2,0.0033333334,7.3578067,-7.448809325676416,1.0,299.999969473632,-7.448809325676416,5.4391416e-20,52.230417304032734,1.0,1.0,100,0.0033333334,-8.06971,-8.523233
0.0024999997,55.652718828480495,500.0,1.0,-8.282651522957408,,500,200.0,0.9,2,0.0025,7.374655,-8.282651522957408,1.0,400.0,-8.282651522957408,5.434597e-20,55.652718828480495,1.0,1.0,100,0.0025,-8.122945,-8.515708
0.002,52.10209566257391,416.85506938136194,0.80264944,-8.78582121366059,0.45672792,500,200.0,0.9,1,0.0014571395,8.450456,-8.78582121366059,1.1016783,363.4885266545634,-8.78582121366059,1.5052475e-06,52.10209566257391,1.1994576,2.625995,100,0.004767263,-8.150682,-8.535422
0.009999998,42.643059901447636,500.0,1.0,-6.8587082778373,,500,200.0,0.9,2,0.01,6.4974327,-6.8587082778373,1.0,100.0,-6.8587082778373,3.5044917e-18,42.643059901447636,1.0,1.0,100,0.01,-6.8587084,-7.640622
0.0049999994,47.78769823378571,500.0,1.0,-8.962629272135999,,500,200.0,0.9,2,0.005,6.772728,-8.962629272135999,1.0,200.00000010221265,-8.962629272135999,2.179301e-19,47.78769823378571,1.0,1.0,100,0.005,-7.910669,-8.463566
0.0033333336,47.399432800236674,500.0,1.0,-7.748754118930453,,500,200.0,0.9,2,0.0033333334,6.799083,-7.748754118930453,1.0,299.999969473632,-7.748754118930453,5.4391416e-20,47.399432800236674,1.0,1.0,100,0.0033333334,-7.8566976,-8.3138485
0.0024999997,48.43793735237503,500.0,1.0,-8.008756093542285,,500,200.0,0.9,2,0.0025,6.8310595,-8.008756093542285,1.0,400.0,-8.008756093542285,5.434597e-20,48.43793735237503,1.0,1.0,100,0.0025,-7.8947115,-8.290616
0.0020000003,49.827944004270705,498.32436616463593,0.4856407,-8.288544838121345,0.0073662084,500,200.0,0.9,1,0.0009820105,6.8959146,-8.288544838121345,0.98907435,496.2705941613858,-8.288544838121345,3.011938e-08,49.827944004270705,1.0033625,1.0435967,100,0.0021102494,-7.9691944,-8.323896
0.009999998,46.97672477345779,500.0,1.0,-7.5748469814510955,,500,200.0,0.9,2,0.01,6.8196006,-7.5748469814510955,1.0,100.0,-7.5748469814510955,3.5044917e-18,46.97672477345779,1.0,1.0,100,0.01,-7.5748463,-8.365201
0.0049999994,50.565307249425295,500.0,1.0,-7.9173151999089635,,500,200.0,0.9,2,0.005,6.950729,-7.9173151999089635,1.0,200.00000010221265,-7.9173151999089635,2.179301e-19,50.565307249425295,1.0,1.0,100,0.005,-7.7460814,-8.304947
0.0033333336,48.03419603362448,500.0,1.0,-8.226604560676801,,500,200.0,0.9,2,0.0033333334,6.9362106,-8.226604560676801,1.0,299.999969473632,-8.226604560676801,5.4391416e-20,48.03419603362448,1.0,1.0,100,0.0033333334,-7.906256,-8.362568
0.0024999997,61.3347925823987,500.0,1.0,-8.042013046253265,,500,200.0,0.9,2,0.0025,7.1601033,-8.042013046253265,1.0,400.0,-8.042013046253265,5.434597e-20,61.3347925823987,1.0,1.0,100,0.0025,-7.940195,-8.335373
0.0019999999,49.809173063002206,414.3691297021659,0.077242956,-8.316895594540064,0.41823024,500,200.0,0.9,1,0.00014069254,8.22327,-8.316895594540064,1.098039,371.41942214500597,-8.316895594540064,1.3875219e-06,49.809173063002206,1.2066536,1.5069296,100,0.002744765,-7.8495226,-8.237788
0.009999998,53.378923626689954,500.0,1.0,-6.766953183073862,,500,200.0,0.9,2,0.01,7.2694654,-6.766953183073862,1.0,100.0,-6.766953183073862,3.5044917e-18,53.378923626689954,1.0,1.0,100,0.01,-6.7669535,-7.531985
0.0049999994,56.63497830737826,500.0,1.0,-8.900750040626898,,500,200.0,0.9,2,0.005,7.4562163,-8.900750040626898,1.0,200.00000010221265,-8.900750040626898,2.179301e-19,56.63497830737826,1.0,1.0,100,0.005,-7.8338513,-8.394707
0.0033333336,53.97806068409519,500.0,1.0,-8.058006976071376,,500,200.0,0.9,2,0.0033333334,7.408601,-8.058006976071376,1.0,299.999969473632,-8.058006976071376,5.4391416e-20,53.97806068409519,1.0,1.0,100,0.0033333334,-7.908571,-8.366508
0.0024999997,59.948933820197304,500.0,1.0,-8.356894813851277,,500,200.0,0.9,2,0.0025,7.486025,-8.356894813851277,1.0,400.0,-8.356894813851277,5.434597e-20,59.948933820197304,1.0,1.0,100,0.0025,-8.020651,-8.417235
0.002,45.91622458806512,406.2692271331754,0.7948265,-7.761709485621202,1.9818628,500,200.0,0.9,1,0.0012739336,11.334496,-7.761709485621202,1.2478304,220.2389885732162,-7.761709485621202,5.0912263e-06,45.91622458806512,1.230711,5.6140165,100,0.008998044,-7.853909,-8.247422
0.009999998,45.44605977991686,500.0,1.0,-7.464937064449308,,500,200.0,0.9,2,0.01,6.7075777,-7.464937064449308,1.0,100.0,-7.464937064449308,3.5044917e-18,45.44605977991686,1.0,1.0,100,0.01,-7.4649363,-8.25467
0.0049999994,46.39566010180583,500.0,1.0,-7.252143699114782,,500,200.0,0.9,2,0.005,6.7433653,-7.252143699114782,1.0,200.00000010221265,-7.252143699114782,2.179301e-19,46.39566010180583,1.0,1.0,100,0.005,-7.3585396,-7.9169655
0.0033333336,45.48680632942662,500.0,1.0,-8.235650329317448,,500,200.0,0.9,2,0.0033333334,6.7451406,-8.235650329317448,1.0,299.999969473632,-8.235650329317448,5.4391416e-20,45.48680632942662,1.0,1.0,100,0.0033333334,-7.650911,-8.106864
0.0024999997,52.94341179055796,500.0,1.0,-7.5007630366886815,,500,200.0,0.9,2,0.0025,6.8724384,-7.5007630366886815,1.0,400.0,-7.5007630366886815,5.434597e-20,52.94341179055796,1.0,1.0,100,0.0025,-7.6133738,-8.008241
0.002,50.37586752047769,432.06074535686827,0.81560355,-7.1385405965553534,0.49172235,500,200.0,0.9,1,0.0013734823,8.070589,-7.1385405965553534,1.1876433,370.9421420350877,-7.1385405965553534,1.3944659e-06,50.37586752047769,1.1572447,2.5066931,100,0.0042212894,-7.433024,-7.812958
0.009999998,42.17492343134967,500.0,1.0,-7.615146298817319,,500,200.0,0.9,2,0.01,6.4616694,-7.615146298817319,1.0,100.0,-7.615146298817319,3.5044917e-18,42.17492343134967,1.0,1.0,100,0.01,-7.615146,-8.393084
0.0049999994,48.10010937521051,500.0,1.0,-6.995799600817273,,500,200.0,0.9,2,0.005,6.691938,-6.995799600817273,1.0,200.00000010221265,-6.995799600817273,2.179301e-19,48.10010937521051,1.0,1.0,100,0.005,-7.305473,-7.856952
0.0033333336,58.202784286221345,500.0,1.0,-7.812330370630203,,500,200.0,0.9,2,0.0033333334,7.0084734,-7.812330370630203,1.0,299.999969473632,-7.812330370630203,5.4391416e-20,58.202784286221345,1.0,1.0,100,0.0033333334,-7.4744253,-7.924706
0.0024999997,48.30374113393235,500.0,1.0,-7.396174052728347,,500,200.0,0.9,2,0.0025,6.985367,-7.396174052728347,1.0,400.0,-7.396174052728347,5.434597e-20,48.30374113393235,1.0,1.0,100,0.0025,-7.454862,-7.8448167
0.0019999999,48.00367995347798,207.18642749647725,0.72355425,-6.931398312134991,10.25253,500,200.0,0.9,1,0.0010555816,13.406756,-6.931398312134991,1.3709111,77.58783305991531,-6.931398312134991,2.1820888e-05,48.00367995347798,2.4132855,50.8191,100,0.07413916,-6.610648,-7.1577287
0.009999998,48.23952564050492,500.0,1.0,-7.751764645533675,,500,200.0,0.9,2,0.01,6.9106536,-7.751764645533675,1.0,100.0,-7.751764645533675,3.5044917e-18,48.23952564050492,1.0,1.0,100,0.01,-7.751765,-8.540586
0.0049999994,43.57792329804246,500.0,1.0,-7.305706812770382,,500,200.0,0.9,2,0.005,6.745322,-7.305706812770382,1.0,200.00000010221265,-7.305706812770382,2.179301e-19,43.57792329804246,1.0,1.0,100,0.005,-7.5287356,-8.086517
0.0033333336,41.06117395378811,500.0,1.0,-6.351738996784145,,500,200.0,0.9,2,0.0033333334,6.6476274,-6.351738996784145,1.0,299.999969473632,-6.351738996784145,5.4391416e-20,41.06117395378811,1.0,1.0,100,0.0033333334,-7.1364036,-7.5918303
0.0024999997,46.48139712208841,500.0,1.0,-8.093683924276014,,500,200.0,0.9,2,0.0025,6.6947136,-8.093683924276014,1.0,400.0,-8.093683924276014,5.434597e-20,46.48139712208841,1.0,1.0,100,0.0025,-7.3757234,-7.7701344
0.002,58.6942722798807,497.0599270510176,0.9498921,-9.416487150553154,0.009488791,500,200.0,0.9,1,0.0018748057,6.971934,-9.416487150553154,1.0133232,495.43084529735944,-9.416487150553154,3.6963655e-08,58.6942722798807,1.0059149,1.4993807,100,0.0029593336,-7.7788563,-8.13267
0.009999998,42.058696731716196,500.0,1.0,-6.729534282115734,,500,200.0,0.9,2,0.01,6.4527597,-6.729534282115734,1.0,100.0,-6.729534282115734,3.5044917e-18,42.058696731716196,1.0,1.0,100,0.01,-6.729534,-7.5129213
0.0049999994,53.570792838975805,500.0,1.0,-7.662589060723217,,500,200.0,0.9,2,0.005,6.8959584,-7.662589060723217,1.0,200.00000010221265,-7.662589060723217,2.179301e-19,53.570792838975805,1.0,1.0,100,0.005,-7.1960616,-7.755826
0.0033333336,43.544656891074865,500.0,1.0,-7.483774931823429,,500,200.0,0.9,2,0.0033333334,6.789033,-7.483774931823429,1.0,299.999969473632,-7.483774931823429,5.4391416e-20,43.544656891074865,1.0,1.0,100,0.0033333334,-7.2919664,-7.7490125
0.0024999997,55.027286393804104,500.0,1.0,-8.87312728668232,,500,200.0,0.9,2,0.0025,6.9754024,-8.87312728668232,1.0,400.0,-8.87312728668232,5.434597e-20,55.027286393804104,1.0,1.0,100,0.0025,-7.687257,-8.08307
0.002,58.15182909071138,74.55491771539619,8.057832e-05,-9.89737524814277,13.496347,500,200.0,0.9,1,1.0641832e-07,15.072117,-9.89737524814277,1.5143694,72.74511527123632,-9.89737524814277,2.3540333e-05,58.15182909071138,6.7064657,21.947529,100,0.028985702,-6.770823,-7.687639
0.009999998,52.765386228692236,500.0,1.0,-8.581343704499501,,500,200.0,0.9,2,0.01,7.2275677,-8.581343704499501,1.0,100.0,-8.581343704499501,3.5044917e-18,52.765386228692236,1.0,1.0,100,0.01,-8.581343,-9.359627
0.0049999994,50.4392935493277,500.0,1.0,-7.325425266701797,,500,200.0,0.9,2,0.005,7.175001,-7.325425266701797,1.0,200.00000010221265,-7.325425266701797,2.179301e-19,50.4392935493277,1.0,1.0,100,0.005,-7.953384,-8.503714
0.0033333336,46.758665511966065,500.0,1.0,-8.924991899352907,,500,200.0,0.9,2,0.0033333334,7.0682793,-8.924991899352907,1.0,299.999969473632,-8.924991899352907,5.4391416e-20,46.758665511966065,1.0,1.0,100,0.0033333334,-8.277254,-8.72818
0.0024999997,51.42701982808146,500.0,1.0,-7.646129433297164,,500,200.0,0.9,2,0.0025,7.090367,-7.646129433297164,1.0,400.0,-7.646129433297164,5.434597e-20,51.42701982808146,1.0,1.0,100,0.0025,-8.119472,-8.51082
0.002,59.89934381178399,383.8227771417799,0.00035228673,-8.157006274928426,0.5296655,500,200.0,0.9,1,6.6759924e-07,8.473835,-8.157006274928426,1.0553839,339.0791401750814,-8.157006274928426,1.9021323e-06,59.89934381178399,1.3026845,1.6686969,100,0.0031622557,-7.958771,-8.363728
0.009999998,52.908186929124824,500.0,1.0,-7.604849898330107,,500,200.0,0.9,2,0.01,7.237341,-7.604849898330107,1.0,100.0,-7.604849898330107,3.5044917e-18,52.908186929124824,1.0,1.0,100,0.01,-7.60485,-8.396241
0.0049999994,52.064182963457505,500.0,1.0,-8.251528956556132,,500,200.0,0.9,2,0.005,7.2156687,-8.251528956556132,1.0,200.00000010221265,-8.251528956556132,2.179301e-19,52.064182963457505,1.0,1.0,100,0.005,-7.9281893,-8.487787
0.0033333336,59.42335913082043,500.0,1.0,-8.268119163379765,,500,200.0,0.9,2,0.0033333334,7.371972,-8.268119163379765,1.0,299.999969473632,-8.268119163379765,5.4391416e-20,59.42335913082043,1.0,1.0,100,0.0033333334,-8.041499,-8.498409
0.0024999997,47.15812058894368,500.0,1.0,-7.76559003610613,,500,200.0,0.9,2,0.0025,7.2419186,-7.76559003610613,1.0,400.0,-7.76559003610613,5.434597e-20,47.15812058894368,1.0,1.0,100,0.0025,-7.9725223,-8.368217
0.0019999999,47.84320307716814,437.82130273190506,0.82117295,-7.863941709155158,0.39065894,500,200.0,0.9,1,0.0014591523,8.229761,-7.863941709155158,1.125548,382.33556352923375,-7.863941709155158,1.2334732e-06,47.84320307716814,1.1420184,2.4064598,100,0.004276068,-7.871027,-8.249246
0.009999998,44.21381716395093,500.0,1.0,-6.654191449007924,,500,200.0,0.9,2,0.01,6.616017,-6.654191449007924,1.0,100.0,-6.654191449007924,3.5044917e-18,44.21381716395093,1.0,1.0,100,0.01,-6.654191,-7.421693
0.0049999994,47.170989914028965,500.0,1.0,-7.3881464930557,,500,200.0,0.9,2,0.005,6.735737,-7.3881464930557,1.0,200.00000010221265,-7.3881464930557,2.179301e-19,47.170989914028965,1.0,1.0,100,0.005,-7.021169,-7.577751
0.0033333336,55.117415866149365,500.0,1.0,-8.37954476611282,,500,200.0,0.9,2,0.0033333334,6.98896,-8.37954476611282,1.0,299.999969473632,-8.37954476611282,5.4391416e-20,55.117415866149365,1.0,1.0,100,0.0033333334,-7.4739614,-7.929848
0.0024999997,55.640997604547664,500.0,1.0,-8.323731036025464,,500,200.0,0.9,2,0.0025,7.109199,-8.323731036025464,1.0,400.0,-8.323731036025464,5.434597e-20,55.640997604547664,1.0,1.0,100,0.0025,-7.6864033,-8.083125
0.002,46.32431457340813,379.0444290291201,9.524504e-08,-6.652308866315415,0.56063783,500,200.0,0.9,1,1.546973e-10,7.8651247,-6.652308866315415,1.2313731,365.2284107811833,-6.652308866315415,1.4789827e-06,46.32431457340813,1.3191066,1.6955247,100,0.0027538766,-6.920663,-7.3282037
0.009999998,49.398102699283186,500.0,1.0,-7.861960645046495,,500,200.0,0.9,2,0.01,6.993148,-7.861960645046495,1.0,100.0,-7.861960645046495,3.5044917e-18,49.398102699283186,1.0,1.0,100,0.01,-7.8619604,-8.632856
0.0049999994,51.38477354410939,500.0,1.0,-8.21053054695656,,500,200.0,0.9,2,0.005,7.06526,-8.21053054695656,1.0,200.00000010221265,-8.21053054695656,2.179301e-19,51.38477354410939,1.0,1.0,100,0.005,-8.036245,-8.585309
