BatchSize,MinNormIw,VarNormIw,AvgNormIw,VarRet,VarDiscRet,J,eRenyi2,VarJ,AvgVanillaIw,ESSClassic,VanillaAvgRet,MaxVanillaIw,MaxNormIw,AvgDiscRet,AvgEpLen,VarVanillaIw,MinVanillaIw,ESSRenyi,Bound,AvgRet
500,,0.0017250128,0.002,21340.27662778572,21340.27662778572,1489.551,104.00989,2109.969,0.61113065,1.1590422880495643,108.62263703788383,283.61694,0.9281712,108.62263703788383,11.868,161.06476,,4.807235264638536,883.1486,108.62263703788383
500,,0.0006289161,0.002,300953.47839789523,300953.47839789523,4416.52,96.22833,7699.497,0.99401027,3.1662691286889655,365.09725632450915,255.16896,0.51341313,365.09725632450915,37.518,155.35115,,5.195974895424028,2570.446,365.09725632450915
500,1.564028e-09,8.679671e-06,0.002,3363297.4935832783,3363297.4935832783,4938.869,3.3638256,216.15775,1.0751833,157.94904416945565,3734.0203251941193,7.5111275,0.013971809,3734.0203251941193,373.814,2.508466,8.4080835e-07,148.64028801097066,4593.711,3734.0203251941193
500,9.021341e-05,6.8462657e-07,0.002,227608.09860475207,227608.09860475207,4983.795,1.1796886,96.52248,0.9977399,427.0531698032048,4922.063038057027,1.8535889,0.0037155754,4922.063038057027,492.252,0.17038386,0.045004763,423.8406741347087,4779.3926,4922.063038057027
500,0.0003718854,3.118264e-07,0.002,84462.8928673612,84462.8928673612,4991.8955,1.0703479,77.2385,0.9813909,463.90759583805306,4970.766120532073,1.4107037,0.0028749069,4970.766120532073,497.1,0.07508218,0.18248247,467.13783209182503,4797.1963,4970.766120532073
500,0.0006243937,7.336394e-08,0.0019999999,15911.527580564105,15911.527580564105,4997.3306,1.0175575,41.032776,1.0047245,491.01236376136075,4991.938501186864,1.2083216,0.0024052793,4991.938501186864,499.206,0.018514698,0.31367183,491.3727225429659,4807.4937,4991.938501186864
500,0.0015130847,5.296502e-09,0.002,561.8007432599065,561.8007432599065,4999.1167,1.0013744,17.922844,1.0010635,499.3400893333078,4998.856873362606,1.0526509,0.0021030654,4998.856873362606,499.896,0.0013269434,0.7573469,499.3137611922282,4810.7954,4998.856873362606
500,0.0004584081,8.86814e-08,0.002,12933.771865469796,12933.771865469796,4997.8335,1.0158414,33.687378,0.9920162,489.176496681039,4992.717893854868,1.1410176,0.0023004012,4992.717893854868,499.284,0.021817755,0.22737412,492.20283530061334,4808.1567,4992.717893854868
500,0.000891913,4.5684693e-08,0.002,15256.586054770341,15256.586054770341,4997.3765,1.0119776,55.11614,1.0037571,494.3650439838739,4994.315278544663,1.1626344,0.0023165653,4994.315278544663,499.444,0.011507154,0.447632,494.08210521678257,4808.0605,4994.315278544663
500,0.0012027347,4.2748635e-08,0.002,49998.47544336061,49998.47544336061,4991.926,1.0103513,178.72952,1.0029981,494.7233757922318,4989.923597224267,1.3251129,0.0026423037,4989.923597224267,499.002,0.010751341,0.60317034,494.8773757023381,4802.762,4989.923597224267
500,0.002,5.431875e-20,0.0020000003,0.008032482134122004,0.008032482134122004,4999.9165,1.0,0.08952572,1.0,500.00000664260017,4999.916170583716,1.0,0.002,4999.916170583716,500.0,,1.0,500.0,4811.724,4999.916170583716
500,0.0014031824,5.6418945e-09,0.002,653.171317213197,653.171317213197,4999.125,1.0015082,17.923618,1.0040289,499.29704283550626,4998.783183349045,1.0483323,0.0020882513,4998.783183349045,499.888,0.0014218617,0.7044179,499.2470177092484,4810.791,4998.783183349045
500,0.002,5.431875e-20,0.0020000003,0.005634976341202117,0.005634976341202117,4999.9272,1.0,0.074978895,1.0,500.00000664260017,4999.926889761301,1.0,0.002,4999.926889761301,500.0,,1.0,500.0,4811.735,4999.926889761301
500,0.00022020163,2.5061735e-07,0.0019999999,137997.35046604698,137997.35046604698,4987.55,1.0563232,182.10995,0.98733544,470.57536358819124,4971.14639165562,1.4267638,0.0028901298,4971.14639165562,497.128,0.061077416,0.10870644,473.3399909108155,4794.1304,4971.14639165562
500,0.002,5.431875e-20,0.0020000003,0.005395457893969924,0.005395457893969924,4999.934,1.0,0.073390245,1.0,500.00000664260017,4999.933138025279,1.0,0.002,4999.933138025279,500.0,,1.0,500.0,4811.7417,4999.933138025279
500,0.0013405619,9.904248e-09,0.0019999999,1445.0750078174347,1445.0750078174347,4998.79,1.0025665,25.471601,1.0001483,498.7675759753899,4998.22894448952,1.0775524,0.0021547852,4998.22894448952,499.832,0.0024767967,0.67038035,498.7200565222659,4810.3564,4998.22894448952
500,0.0017355436,2.1872413e-08,0.0019999999,49998.58353288099,49998.58353288099,4991.0054,1.0052825,199.38281,1.0045002,497.2862747416311,4989.929074021178,1.3650935,0.0027179557,4989.929074021178,499.002,0.0055174283,0.87167686,497.37261857427575,4802.317,4989.929074021178
500,0.002,5.431875e-20,0.0020000003,0.005360679867379011,0.005360679867379011,4999.925,1.0,0.07314811,1.0,500.00000664260017,4999.924251884369,1.0,0.002,4999.924251884369,500.0,,1.0,500.0,4811.7324,4999.924251884369
500,0.0019946985,1.0971956e-12,0.002,0.006390472531995951,0.006390472531995951,4999.927,1.000002,0.07980826,0.9999878,499.99982679986414,4999.9264164558745,1.0009211,0.0020018667,4999.9264164558745,500.0,2.7429164e-07,0.9973371,499.9989867230923,4811.7344,4999.9264164558745
500,0.002,5.431875e-20,0.0020000003,0.00696378389551055,0.00696378389551055,4999.9233,1.0,0.08337948,1.0,500.00000664260017,4999.92287144281,1.0,0.002,4999.92287144281,500.0,,1.0,500.0,4811.731,4999.92287144281
