VanillaAvgRet,MaxNormIw,VarDiscRet,BatchSize,IterType,eRenyi2,MinVanillaIw,AvgDiscRet,ESSClassic,VarRet,VarVanillaIw,Delta,AvgEpLen,VarJ,J,Bound,MinNormIw,AvgRet,AvgVanillaIw,MaxVanillaIw,VarNormIw,ESSRenyi,AvgNormIw,EpsThisIter
-1805.8213741277293,0.025757719,5413012.3821844775,100,1,2.6830258,4.4639907e-17,-1805.8213741277293,49.791483012666426,5413012.3821844775,2.1614633,0.9,200.0,82.92164,-29.57112,-344.04715,3.064382e-19,-1805.8213741277293,1.4567343,3.7522154,0.00010185612,37.27135185320453,0.01,100
-9.590962183576641,0.017596299,75.354185001371,100,1,1.3966812,0.015640847,-9.590962183576641,76.1087821512539,75.354185001371,0.35121495,0.9,200.0,9.535502,-8.8775,-10.211298,0.00014861338,-9.590962183576641,1.0524521,1.8519261,3.1707965e-05,71.59830084999322,0.01,100
-9.748780390689753,0.023580646,77.45186269125286,100,1,1.81045,0.000104323735,-9.748780390689753,58.245042614851926,77.45186269125286,0.97350204,0.9,200.0,9.40292,-8.656817,-9.887541,8.9974947e-07,-9.748780390689753,1.1594754,2.734118,7.241254e-05,55.23488764024599,0.010000002,100
-8.937301598146652,0.048515588,64.52892942783109,100,1,1.982279,0.01707417,-8.937301598146652,45.341372558989164,64.52892942783109,1.5137471,0.9,200.0,10.417703,-7.7943673,-9.100349,0.00015313605,-8.937301598146652,1.1149675,5.40933,0.0001217668,50.44698696417567,0.01,100
-8.937301598146652,0.16211472,57.87185593145892,200,,5.48057,0.18486577,-10.011921652928011,19.250397331252042,64.52892942783109,55.302074,0.9,200.0,17.429976,-10.109583,-12.272238,0.00051170366,-8.937301598146652,3.6127505,58.568005,0.0004237069,36.492555675390484,0.01,100
-9.786096406668712,0.45882016,63.08672945472946,200,1,47.571163,,-9.786096406668712,3.3514786276576096,63.08672945472946,20.60206,0.9,200.0,6.8586016,-1.5963271,-6.1202135,,-9.786096406668712,0.5910711,54.23907,0.0014742503,4.204227658966224,0.005,100
-7.134266024310456,0.01,45.39015059157137,200,2,1.0,1.0,-7.134266024310456,100.0,45.39015059157137,,0.9,200.0,6.7034507,-7.1342664,-7.9155073,0.01,-7.134266024310456,1.0,1.0,3.5044917e-18,200.0,0.009999998,100
-9.786096406668712,nan,53.9030932819081,300,,nan,0.018436894,-8.519650476848538,nan,63.08672945472946,nan,0.9,200.0,nan,nan,nan,nan,-9.786096406668712,inf,inf,nan,nan,nan,100
-8.717957619033596,0.23439476,55.341039486729386,300,1,44.736824,,-8.717957619033596,6.119693127273792,55.341039486729386,38.25494,0.9,200.0,13.6648655,-2.296374,-5.9850893,,-8.717957619033596,0.8910423,62.656693,0.0005353631,6.705885061509326,0.0033333334,100
-7.009629914075519,0.01,44.803492219152,300,2,1.0,1.0,-7.009629914075519,100.0,44.803492219152,,0.9,200.0,6.659989,-7.0096297,-7.7872276,0.01,-7.009629914075519,1.0,1.0,3.5044917e-18,300.0,0.009999998,100
-9.025685748685186,0.005,46.27789677336108,300,2,1.0,1.0,-9.025685748685186,200.00000010221265,46.27789677336108,,0.9,200.0,6.789802,-8.017657,-8.567502,0.005,-9.025685748685186,1.0,1.0,2.179301e-19,300.0,0.0049999994,100
-8.717957619033596,nan,52.88349085896026,400,,nan,0.015959987,-8.4621986035142,nan,55.341039486729386,nan,0.9,200.0,nan,nan,nan,nan,-8.717957619033596,inf,inf,nan,nan,nan,100
-7.866547853494488,0.020104675,59.075548129236914,400,1,5.5712643,,-7.866547853494488,66.18593204387261,59.075548129236914,4.8129253,0.9,200.0,17.96182,-7.420065,-8.547393,,-7.866547853494488,0.97564435,7.846005,3.160138e-05,71.79698912715637,0.0025,100
-7.116498439695008,0.01,45.40352095110119,400,2,1.0,1.0,-7.116498439695008,100.0,45.40352095110119,,0.9,200.0,6.7044373,-7.1164985,-7.892786,0.01,-7.116498439695008,1.0,1.0,3.5044917e-18,400.0,0.009999998,100
-7.573451729219143,0.005,51.249890959119384,400,2,1.0,1.0,-7.573451729219143,200.00000010221265,51.249890959119384,,0.9,200.0,6.9206676,-7.3449745,-7.901249,0.005,-7.573451729219143,1.0,1.0,2.179301e-19,400.0,0.0049999994,100
-7.515249249096836,0.0033333334,50.05046513433021,400,2,1.0,1.0,-7.515249249096836,299.999969473632,50.05046513433021,,0.9,200.0,6.9608564,-7.4017334,-7.85593,0.0033333334,-7.515249249096836,1.0,1.0,5.4391416e-20,400.0,0.0033333336,100
-7.381898613035511,0.014969416,48.60511554599875,400,1,1.2295289,0.7923411,-7.381898613035511,329.42018907104966,48.60511554599875,0.2151191,0.9,200.0,7.5656543,-7.3128214,-7.748979,0.0019793445,-7.381898613035511,1.000762,5.9923286,1.342448e-06,325.3278541979105,0.0025,100
-6.259712374500526,0.01,39.02791794352806,400,2,1.0,1.0,-6.259712374500526,100.0,39.02791794352806,,0.9,200.0,6.215918,-6.259712,-7.0524015,0.01,-6.259712374500526,1.0,1.0,3.5044917e-18,400.0,0.009999998,100
-7.987479089902279,0.005,61.43349185363875,400,2,1.0,1.0,-7.987479089902279,200.00000010221265,61.43349185363875,,0.9,200.0,7.104554,-7.1235957,-7.6841116,0.005,-7.987479089902279,1.0,1.0,2.179301e-19,400.0,0.0049999994,100
