MaxNormIw,BatchSize,AvgDiscRet,eRenyi2,MaxVanillaIw,ESSClassic,AvgEpLen,AvgVanillaIw,VarVanillaIw,VarNormIw,VarDiscRet,AvgNormIw,VarJ,Bound,MinVanillaIw,AvgRet,MinNormIw,VarRet,ESSRenyi,VanillaAvgRet,J
0.7383657,500,109.73707044842418,139.86566,414.8108,1.7811771981854287,11.98,1.1235917,353.834,0.0011210951,16293.39378027691,0.0020000003,3343.9285,338.12244,,109.73707044842418,,16293.39378027691,3.574858862460011,109.73707044842418,898.8972
0.6472777,500,432.31236959908955,101.8574,392.55447,2.151636204836969,44.24,1.2129399,341.09567,0.0009273798,308814.70225647,0.002,9571.739,2508.2886,,432.31236959908955,,308814.70225647,4.908823560914961,432.31236959908955,4407.6074
0.049699113,500,2397.762681391803,12.197008,28.320387,41.62701023724353,240.57,1.1396737,14.33093,4.4133998e-05,3181817.064956945,0.002,840.1618,4174.0923,7.094446e-23,2397.762681391803,1.2449959e-25,3181817.064956945,40.99365963771816,2397.762681391803,4831.339
0.0063794106,500,4727.812427637988,1.6299264,3.312676,313.3340527724953,472.93,1.0385524,0.6438486,2.3877394e-06,703794.7549387016,0.002,181.44925,4716.6377,0.0002679714,4727.812427637988,5.160479e-07,703794.7549387016,306.76230949971233,4727.812427637988,4956.9
0.0029897762,500,4958.043521870557,1.0907835,1.5085809,456.32233981125836,495.834,1.0091598,0.097673476,3.836337e-07,127689.03048386806,0.002,85.824776,4792.8525,0.109114885,4958.043521870557,0.00021624897,127689.03048386806,458.3861147707334,4958.043521870557,4989.4014
0.0027308792,500,4975.244936881343,1.0511316,1.383868,475.80454277705314,497.546,1.0134963,0.052338228,2.0381432e-07,81628.25050866093,0.002,89.6017,4797.875,0.24299675,4975.244936881343,0.00047952175,81628.25050866093,475.67782863479584,4975.244936881343,4990.8184
0.0025070256,500,4982.243283171677,1.0351148,1.2483306,483.4395179769828,498.242,0.9958658,0.03404094,1.3729664e-07,70376.64663839368,0.002,80.12943,4803.207,0.1024617,4982.243283171677,0.00020577411,70376.64663839368,483.0382261228961,4982.243283171677,4994.675
0.002226274,500,4996.6373428695615,1.0051044,1.1098852,496.9427158564423,499.676,0.99707866,0.006128609,2.4658295e-08,3650.0222787696844,0.0019999999,36.559647,4809.1284,0.57452464,4996.6373428695615,0.0011524159,3650.0222787696844,497.4607501197603,4996.6373428695615,4997.8003
0.0021302532,500,4997.801890635909,1.0018383,1.0659412,499.00378683987066,499.792,1.0007648,0.0020033498,8.001154e-09,1413.5418799952656,0.002,30.7555,4809.806,0.7863064,4997.801890635909,0.0015714109,1413.5418799952656,499.0825233944338,4997.801890635909,4998.1714
0.0022878542,500,4995.477149691792,1.007448,1.1447273,495.9437986477679,499.564,1.0006996,0.008206635,3.2780658e-08,3491.3720624067814,0.002,37.48529,4808.2046,0.5159059,4995.477149691792,0.0010310905,3491.3720624067814,496.30355199319945,4995.477149691792,4997.096
0.0022350622,500,4995.620867554447,1.0070944,1.1174768,496.3082955530905,499.574,0.9999514,0.0074525033,2.9812913e-08,5718.964022423761,0.002,49.79261,4808.206,0.57173264,4995.620867554447,0.0011435208,5718.964022423761,496.47779624342456,4995.620867554447,4997.0645
0.0020943214,500,4998.684016051498,1.0012916,1.045732,499.28232934582024,499.882,0.99863565,0.0014363714,5.7611955e-09,497.44422172112724,0.002,16.902103,4810.6377,0.75084144,4998.684016051498,0.0015037345,497.44422172112724,499.3550167552777,4998.684016051498,4998.951
0.002117013,500,4998.019808343422,1.0017618,1.0566057,499.0063365218075,499.814,0.99820423,0.0019879828,7.980569e-09,1350.6370873716846,0.002,29.758821,4810.0415,0.7332028,4998.019808343422,0.0014690437,1350.6370873716846,499.12065218464886,4998.019808343422,4998.3994
0.002214376,500,4996.933620540851,1.0045907,1.1017954,497.0831849426357,499.704,0.9951294,0.0058224685,2.3518414e-08,4452.753179061768,0.002,45.679134,4809.252,0.5585217,4996.933620540851,0.0011225106,4452.753179061768,497.71511446736594,4996.933620540851,4997.8755
0.0020706647,500,4998.847328157861,1.0007048,1.0371293,499.7068863945193,499.894,1.0017356,0.00058970915,2.3506697e-09,583.2354237081122,0.002,20.660587,4810.745,0.8575957,4998.847328157861,0.0017122197,583.2354237081122,499.64786551226274,4998.847328157861,4999.0034
0.0025028018,500,4990.09837236524,1.0225189,1.2576394,489.356728172037,499.022,1.0049852,0.022010868,8.7172154e-08,24537.1905329727,0.002,47.626564,4806.654,0.29734746,4990.09837236524,0.0005917449,24537.1905329727,488.9885293051247,4990.09837236524,4996.953
0.0020097317,500,4999.93131064981,1.0000001,1.0048406,499.9988292127826,500.0,0.99997485,2.3701725e-06,9.481223e-12,0.004965653929585962,0.002,0.07034356,4811.7397,0.9948603,4999.93131064981,0.0019897707,0.004965653929585962,499.99994039536233,4999.93131064981,4999.932
0.0020085059,500,4999.863696967998,1.0000038,1.0041817,499.9975789049867,499.996,0.9999291,4.780381e-06,1.912424e-11,1.8144473116618847,0.002,1.3344686,4811.6724,0.9881008,4999.863696967998,0.0019763417,1.8144473116618847,499.99809265864315,4999.863696967998,4999.8647
0.0020177986,500,4999.66571559267,1.0000433,1.0085522,499.97493862135,499.978,0.999656,5.0202034e-05,2.009463e-10,17.023789956420664,0.002,3.9966094,4811.478,0.9460626,4999.66571559267,0.0018927763,17.023789956420664,499.97836445018106,4999.66571559267,4999.6743
0.0026677726,500,4989.741318966208,1.011681,1.3275707,493.5279640639093,498.986,0.99526525,0.013015879,5.2560054e-08,49815.04668544441,0.002,173.3528,4802.6904,0.49692047,4989.741318966208,0.000998569,49815.04668544441,494.2269543910131,4989.741318966208,4991.9785
0.002,500,4999.925477618442,1.0,1.0,500.00000664260017,500.0,1.0,,5.431875e-20,0.005616950138440363,0.0020000003,0.07486577,4811.734,1.0,4999.925477618442,0.002,0.005616950138440363,500.0,4999.925477618442,4999.9263
0.0020198214,500,4999.645033386989,1.0000397,1.0097357,499.98051952846976,499.974,0.9998267,3.8955113e-05,1.5587442e-10,39.24490008628004,0.002,6.084812,4811.458,0.9635675,4999.645033386989,0.0019274689,39.24490008628004,499.98015244117227,4999.645033386989,4999.654
0.0022657695,500,4996.14746265432,1.007059,1.1294538,496.34448621647016,499.624,0.9969714,0.007335107,2.9518956e-08,7144.265496772899,0.002,43.952255,4809.1064,0.5184408,4996.14746265432,0.0010400313,7144.265496772899,496.4952509066537,4996.14746265432,4997.962
0.0020620052,500,4999.344347463978,1.0006465,1.0300409,499.64081158107183,499.944,0.9990671,0.0007189164,2.8810385e-09,168.25046712669695,0.002,10.402621,4811.2075,0.8017103,4999.344347463978,0.0016049178,168.25046712669695,499.67697283939026,4999.344347463978,4999.4604
0.0021699758,500,4997.439599612234,1.0034056,1.0826987,498.2304311434716,499.756,0.9978901,0.0035438705,1.4235489e-08,1567.034154308339,0.002,27.91359,4809.662,0.6927154,4997.439599612234,0.00138836,1567.034154308339,498.30299378318807,4997.439599612234,4998.1743
0.0022273639,500,4996.520810959063,1.0051624,1.1109153,497.09795224258625,499.664,0.99751574,0.005820646,2.3398698e-08,2924.9664826820867,0.002,36.42717,4808.9585,0.5899773,4996.520810959063,0.0011828933,2924.9664826820867,497.4320773945367,4996.520810959063,4997.6357
0.002064959,500,4999.348353501574,1.000357,1.0321014,499.83284053417515,499.944,0.99963385,0.0003348685,1.3404557e-09,168.24790989098415,0.002,11.419951,4811.1924,0.8807649,4999.348353501574,0.001762175,168.24790989098415,499.82154780201114,4999.348353501574,4999.418
0.002,500,4999.919840915592,1.0,1.0,500.00000664260017,500.0,1.0,,5.431875e-20,0.006448855292108692,0.0020000003,0.08022761,4811.728,1.0,4999.919840915592,0.002,0.006448855292108692,500.0,4999.919840915592,4999.9204
