ESSRenyi,AvgDiscRet,AvgEpLen,MaxNormIw,BatchSize,VarRet,MaxVanillaIw,MinNormIw,VarDiscRet,VanillaAvgRet,AvgRet,IterType,AvgNormIw,eRenyi2,VarJ,VarNormIw,Bound,VarVanillaIw,AvgVanillaIw,J,Delta,EpsThisIter,MinVanillaIw,ESSClassic
500.0,-8.214182098712728,200.0,0.01,500,52.545502971310924,1.0,0.01,52.545502971310924,-8.214182098712728,-8.214182098712728,2,0.009999998,1.0,7.2124925,3.5044917e-18,-8.978074,,1.0,-8.214182,0.9,100,1.0,100.0
500.0,-6.9946128998302735,200.0,0.005,500,54.832483736941874,1.0,0.005,54.832483736941874,-6.9946128998302735,-6.9946128998302735,2,0.0049999994,1.0,7.3160057,2.179301e-19,-8.154615,,1.0,-7.604397,0.9,100,1.0,200.00000010221265
500.0,-7.773187066810377,200.0,0.0033333334,500,47.743328621195865,1.0,0.0033333334,47.743328621195865,-7.773187066810377,-7.773187066810377,2,0.0033333336,1.0,7.1724653,5.4391416e-20,-8.109912,,1.0,-7.6606607,0.9,100,1.0,299.999969473632
500.0,-8.515025729258257,200.0,0.0025,500,50.65550273453862,1.0,0.0025,50.65550273453862,-8.515025729258257,-8.515025729258257,2,0.0024999997,1.0,7.1594195,5.434597e-20,-8.263782,,1.0,-7.874252,0.9,100,1.0,400.0
5.443112966271487,-8.070553730077938,200.0,0.25284544,500,54.55127632635422,120.64133,,54.55127632635422,-8.070553730077938,-8.070553730077938,1,0.0020000003,91.8592,10.720806,0.0003721691,-4.865382,84.72705,0.9542694,-1.5261436,0.9,100,,5.327300628841547
500.0,-7.283789428210224,200.0,0.01,500,46.61832700181866,1.0,0.01,46.61832700181866,-7.283789428210224,-7.283789428210224,2,0.009999998,1.0,6.7935367,3.5044917e-18,-8.04922,,1.0,-7.2837896,0.9,100,1.0,100.0
500.0,-7.181666994260357,200.0,0.005,500,38.68302289031071,1.0,0.005,38.68302289031071,-7.181666994260357,-7.181666994260357,2,0.0049999994,1.0,6.498213,2.179301e-19,-7.7739687,,1.0,-7.232728,0.9,100,1.0,200.00000010221265
500.0,-6.703844520131261,200.0,0.0033333334,500,43.50729395518422,1.0,0.0033333334,43.50729395518422,-6.703844520131261,-6.703844520131261,2,0.0033333336,1.0,6.5246263,5.4391416e-20,-7.5066643,,1.0,-7.0564337,0.9,100,1.0,299.999969473632
500.0,-7.102976696584257,200.0,0.0025,500,45.03909415799668,1.0,0.0025,45.03909415799668,-7.102976696584257,-7.102976696584257,2,0.0024999997,1.0,6.563204,5.434597e-20,-7.457981,,1.0,-7.06807,0.9,100,1.0,400.0
4.618622217689923,-8.184212327476288,200.0,0.28540054,500,53.83049609945086,164.17737,,53.83049609945086,-8.184212327476288,-8.184212327476288,1,0.002,108.25739,30.745604,0.00046088424,-6.8618183,152.51373,1.150505,-3.2332177,0.9,100,,4.31069390226792
500.0,-6.784888869943953,200.0,0.01,500,46.41269995985858,1.0,0.01,46.41269995985858,-6.784888869943953,-6.784888869943953,2,0.009999998,1.0,6.7785373,3.5044917e-18,-7.5621147,,1.0,-6.7848887,0.9,100,1.0,100.0
500.0,-8.83695076194527,200.0,0.005,500,47.999914699114164,1.0,0.005,47.999914699114164,-8.83695076194527,-8.83695076194527,2,0.0049999994,1.0,6.9128127,2.179301e-19,-8.360501,,1.0,-7.81092,0.9,100,1.0,200.00000010221265
