J,VarNormIw,ESSRenyi,VarJ,AvgEpLen,Bound,VarDiscRet,MinVanillaIw,MaxNormIw,MinNormIw,VanillaAvgRet,BatchSize,VarRet,AvgVanillaIw,IterType,ESSClassic,eRenyi2,AvgRet,AvgNormIw,VarVanillaIw,MaxVanillaIw,AvgDiscRet,EpsThisIter,Delta
-8.639417,5.4391416e-20,500.0,7.0981073,200.0,-9.085435,56.32936974192973,1.0,0.0033333334,0.0033333334,-8.546581011885614,500,56.32936974192973,1.0,2,299.999969473632,1.0,-8.546581011885614,0.0033333336,,1.0,-8.546581011885614,100,0.9
-8.308344,5.434597e-20,500.0,6.98401,200.0,-8.694608,43.071633545737726,1.0,0.0025,0.0025,-7.315123476179026,500,43.071633545737726,1.0,2,400.0,1.0,-7.315123476179026,0.0024999997,,1.0,-7.315123476179026,100,0.9
-6.8622813,2.4753237e-05,70.33136381779669,17.945404,200.0,-7.7834496,57.1377105659738,,0.020673916,,-7.420685955619749,500,57.1377105659738,0.96896863,1,69.67735576274784,7.109204,-7.420685955619749,0.002,5.8102055,10.016188,-7.420685955619749,100,0.9
-7.016797,3.5044917e-18,500.0,6.847759,200.0,-7.7907605,47.3654540321512,1.0,0.01,0.01,-7.016796540126962,500,47.3654540321512,1.0,2,100.0,1.0,-7.016796540126962,0.009999998,,1.0,-7.016796540126962,100,0.9
-7.3089833,2.179301e-19,500.0,6.971297,200.0,-7.8562584,50.641828627810575,1.0,0.005,0.005,-7.601170256835419,500,50.641828627810575,1.0,2,200.00000010221265,1.0,-7.601170256835419,0.0049999994,,1.0,-7.601170256835419,100,0.9
-7.1252027,5.4391416e-20,500.0,6.8053365,200.0,-7.5720506,41.95677679633916,1.0,0.0033333334,0.0033333334,-6.757639749375085,500,41.95677679633916,1.0,2,299.999969473632,1.0,-6.757639749375085,0.0033333336,,1.0,-6.757639749375085,100,0.9
-7.4343767,5.434597e-20,500.0,6.92556,200.0,-7.8213587,52.29153988304243,1.0,0.0025,0.0025,-8.36190331804774,500,52.29153988304243,1.0,2,400.0,1.0,-8.36190331804774,0.0024999997,,1.0,-8.36190331804774,100,0.9
-2.756152,0.00017625332,11.674924885069613,15.803102,200.0,-5.021283,39.74666123665525,,0.12557085,,-7.228885914131325,500,39.74666123665525,0.94200253,1,11.117240182138714,42.826828,-7.228885914131325,0.002,39.10042,59.144028,-7.228885914131325,100,0.9
-7.0515366,3.5044917e-18,500.0,7.1766605,200.0,-7.812837,52.024709749045094,1.0,0.01,0.01,-7.0515363792903365,500,52.024709749045094,1.0,2,100.0,1.0,-7.0515363792903365,0.009999998,,1.0,-7.0515363792903365,100,0.9
-7.6125584,2.179301e-19,500.0,7.2412896,200.0,-8.156822,53.27130822431273,1.0,0.005,0.005,-8.173580946979337,500,53.27130822431273,1.0,2,200.00000010221265,1.0,-8.173580946979337,0.0049999994,,1.0,-8.173580946979337,100,0.9
-7.59909,5.4391416e-20,500.0,7.04541,200.0,-8.04348,44.48461886308666,1.0,0.0033333334,0.0033333334,-7.572153541600727,500,44.48461886308666,1.0,2,299.999969473632,1.0,-7.572153541600727,0.0033333336,,1.0,-7.572153541600727,100,0.9
-7.6870174,5.434597e-20,500.0,6.9423537,200.0,-8.071871,44.22113720354734,1.0,0.0025,0.0025,-7.950798031551294,500,44.22113720354734,1.0,2,400.0,1.0,-7.950798031551294,0.0024999997,,1.0,-7.950798031551294,100,0.9
-3.4524856,0.00014851613,13.06883252148343,20.083506,200.0,-5.586237,51.5403427518487,,0.10528203,,-8.387979816997758,500,51.5403427518487,1.0267606,1,13.138955968152061,38.258965,-8.387979816997758,0.002,39.14281,54.04972,-8.387979816997758,100,0.9
-6.93902,3.5044917e-18,500.0,6.283738,200.0,-7.715157,39.88420482303545,1.0,0.01,0.01,-6.9390205459091305,500,39.88420482303545,1.0,2,100.0,1.0,-6.9390205459091305,0.009999998,,1.0,-6.9390205459091305,100,0.9
-7.7591515,2.179301e-19,500.0,6.974129,200.0,-8.307963,57.01653195549249,1.0,0.005,0.005,-8.579283029383582,500,57.01653195549249,1.0,2,200.00000010221265,1.0,-8.579283029383582,0.0049999994,,1.0,-8.579283029383582,100,0.9
-7.5049324,5.4391416e-20,500.0,6.879675,200.0,-7.9530354,44.77277966437478,1.0,0.0033333334,0.0033333334,-6.996493359172042,500,44.77277966437478,1.0,2,299.999969473632,1.0,-6.996493359172042,0.0033333336,,1.0,-6.996493359172042,100,0.9
-7.4103775,5.434597e-20,500.0,6.885424,200.0,-7.798446,48.01939784612539,1.0,0.0025,0.0025,-7.126715590470437,500,48.01939784612539,1.0,2,400.0,1.0,-7.126715590470437,0.0024999997,,1.0,-7.126715590470437,100,0.9
-2.6617763,0.00041881553,7.273423846411072,17.41506,200.0,-5.539632,54.355201397809125,,0.35936418,,-8.548728216304067,500,54.355201397809125,0.5539935,1,4.739583298104315,68.743416,-8.548728216304067,0.002,32.134556,99.54272,-8.548728216304067,100,0.9
-8.558196,3.5044917e-18,500.0,6.8348236,200.0,-9.334156,47.186683597284215,1.0,0.01,0.01,-8.558195432417323,500,47.186683597284215,1.0,2,100.0,1.0,-8.558195432417323,0.009999998,,1.0,-8.558195432417323,100,0.9
-8.50966,2.179301e-19,500.0,7.075088,200.0,-9.058346,53.933539215058296,1.0,0.005,0.005,-8.46112493424868,500,53.933539215058296,1.0,2,200.00000010221265,1.0,-8.46112493424868,0.0049999994,,1.0,-8.46112493424868,100,0.9
-8.429547,5.4391416e-20,500.0,7.199093,200.0,-8.877548,55.88743815681705,1.0,0.0033333334,0.0033333334,-8.269320492276297,500,55.88743815681705,1.0,2,299.999969473632,1.0,-8.269320492276297,0.0033333336,,1.0,-8.269320492276297,100,0.9
-8.363966,5.434597e-20,500.0,7.047579,200.0,-8.7519455,43.57683338486326,1.0,0.0025,0.0025,-8.167222587695674,500,43.57683338486326,1.0,2,400.0,1.0,-8.167222587695674,0.0024999997,,1.0,-8.167222587695674,100,0.9
-3.1982555,0.00012629876,18.70331110764521,16.515013,200.0,-4.992493,53.10359762740809,,0.06583716,,-8.85818006276865,500,53.10359762740809,1.1435372,1,15.379154762892506,26.733234,-8.85818006276865,0.0020000003,41.289497,37.643616,-8.85818006276865,100,0.9
-7.80628,3.5044917e-18,500.0,6.8836293,200.0,-8.567164,47.86298648752417,1.0,0.01,0.01,-7.8062803824339895,500,47.86298648752417,1.0,2,100.0,1.0,-7.8062803824339895,0.009999998,,1.0,-7.8062803824339895,100,0.9
-7.7934756,2.179301e-19,500.0,6.5151854,200.0,-8.331502,37.88949274579703,1.0,0.005,0.005,-7.780671339245463,500,37.88949274579703,1.0,2,200.00000010221265,1.0,-7.780671339245463,0.0049999994,,1.0,-7.780671339245463,100,0.9
-7.9821553,5.4391416e-20,500.0,6.5482755,200.0,-8.429776,43.970552265765164,1.0,0.0033333334,0.0033333334,-8.359513725489563,500,43.970552265765164,1.0,2,299.999969473632,1.0,-8.359513725489563,0.0033333336,,1.0,-8.359513725489563,100,0.9
-8.060912,5.434597e-20,500.0,6.4925346,200.0,-8.448564,40.300868882861266,1.0,0.0025,0.0025,-8.29718202754256,500,40.300868882861266,1.0,2,400.0,1.0,-8.29718202754256,0.0024999997,,1.0,-8.29718202754256,100,0.9
-7.703755,4.1884296e-06,420.8704081013187,9.36051,200.0,-8.081673,37.84772252914706,0.80585396,0.007484767,0.0012378796,-6.718659419123915,500,37.84772252914706,1.3019909,1,244.49727442041066,1.1880141,-6.718659419123915,0.002,1.7750353,4.872549,-6.718659419123915,100,0.9
-5.5598645,3.5044917e-18,500.0,5.6655293,200.0,-6.277129,32.4224452799778,1.0,0.01,0.01,-5.55986449851652,500,32.4224452799778,1.0,2,100.0,1.0,-5.55986449851652,0.009999998,,1.0,-5.55986449851652,100,0.9
-6.5984044,2.179301e-19,500.0,6.575712,200.0,-7.133448,52.752148758122374,1.0,0.005,0.005,-7.636944189703841,500,52.752148758122374,1.0,2,200.00000010221265,1.0,-7.636944189703841,0.0049999994,,1.0,-7.636944189703841,100,0.9
-6.947568,5.4391416e-20,500.0,6.658142,200.0,-7.390961,46.24352480869725,1.0,0.0033333334,0.0033333334,-7.645895883599381,500,46.24352480869725,1.0,2,299.999969473632,1.0,-7.645895883599381,0.0033333336,,1.0,-7.645895883599381,100,0.9
-7.3544903,5.434597e-20,500.0,6.85642,200.0,-7.73848,53.598386330792835,1.0,0.0025,0.0025,-8.57525822242308,500,53.598386330792835,1.0,2,400.0,1.0,-8.57525822242308,0.0024999997,,1.0,-8.57525822242308,100,0.9
-7.0099263,2.2896227e-06,345.8461071632945,8.307458,200.0,-7.4269204,49.338557437637505,0.76200736,0.005226398,0.0012917664,-7.340464328952554,500,49.338557437637505,1.1797912,1,318.2157369990284,1.4457297,-7.340464328952554,0.0020000003,0.7967357,3.0830293,-7.340464328952554,100,0.9
-7.0768213,3.5044917e-18,500.0,6.530655,200.0,-7.8235354,43.080255869198645,1.0,0.01,0.01,-7.076821224726243,500,43.080255869198645,1.0,2,100.0,1.0,-7.076821224726243,0.009999998,,1.0,-7.076821224726243,100,0.9
-7.3332872,2.179301e-19,500.0,6.5385995,200.0,-7.863025,43.15713823842872,1.0,0.005,0.005,-7.589752889111098,500,43.15713823842872,1.0,2,200.00000010221265,1.0,-7.589752889111098,0.0049999994,,1.0,-7.589752889111098,100,0.9
-7.6193,5.4391416e-20,500.0,6.657396,200.0,-8.051829,47.439759987197334,1.0,0.0033333334,0.0033333334,-8.191324741377016,500,47.439759987197334,1.0,2,299.999969473632,1.0,-8.191324741377016,0.0033333336,,1.0,-8.191324741377016,100,0.9
-8.016814,5.434597e-20,500.0,6.979409,200.0,-8.404138,60.595607199986205,1.0,0.0025,0.0025,-9.20935767479889,500,60.595607199986205,1.0,2,400.0,1.0,-9.20935767479889,0.0024999997,,1.0,-9.20935767479889,100,0.9
-7.3505816,1.3956707e-05,267.6317386194406,11.058975,200.0,-7.8243365,54.68386601847217,0.73627305,0.038396288,0.0011086202,-6.987256523608668,500,54.68386601847217,1.3282692,1,111.55237245171806,1.8682388,-6.987256523608668,0.002,6.1559525,25.500305,-6.987256523608668,100,0.9
-7.3483458,3.5044917e-18,500.0,6.4867578,200.0,-8.122638,42.50305583028901,1.0,0.01,0.01,-7.348346124590927,500,42.50305583028901,1.0,2,100.0,1.0,-7.348346124590927,0.009999998,,1.0,-7.348346124590927,100,0.9
-7.232602,2.179301e-19,500.0,6.6103706,200.0,-7.780109,45.74664326393454,1.0,0.005,0.005,-7.116858598019758,500,45.74664326393454,1.0,2,200.00000010221265,1.0,-7.116858598019758,0.0049999994,,1.0,-7.116858598019758,100,0.9
-7.3651714,5.4391416e-20,500.0,6.7404923,200.0,-7.812209,49.29623439110319,1.0,0.0033333334,0.0033333334,-7.630307926334781,500,49.29623439110319,1.0,2,299.999969473632,1.0,-7.630307926334781,0.0033333336,,1.0,-7.630307926334781,100,0.9
-7.3602643,5.434597e-20,500.0,6.6947336,200.0,-7.7474103,43.408906097856025,1.0,0.0025,0.0025,-7.345545750157929,500,43.408906097856025,1.0,2,400.0,1.0,-7.345545750157929,0.0024999997,,1.0,-7.345545750157929,100,0.9
-7.0104103,3.2351145e-06,310.0664798221527,9.153267,200.0,-7.4501314,48.370794927430225,2.5416553e-15,0.0036785044,4.3402527e-18,-7.800280268035275,500,48.370794927430225,1.1712016,1,276.6770712964791,1.6125574,-7.800280268035275,0.002,1.1094122,2.154135,-7.800280268035275,100,0.9
-7.9610734,3.5044917e-18,500.0,6.7222447,200.0,-8.713054,45.64502492607861,1.0,0.01,0.01,-7.961073349786976,500,45.64502492607861,1.0,2,100.0,1.0,-7.961073349786976,0.009999998,,1.0,-7.961073349786976,100,0.9
-7.78181,2.179301e-19,500.0,6.760608,200.0,-8.326522,46.62506393638198,1.0,0.005,0.005,-7.602545881331481,500,46.62506393638198,1.0,2,200.00000010221265,1.0,-7.602545881331481,0.0049999994,,1.0,-7.602545881331481,100,0.9
-7.509126,5.4391416e-20,500.0,6.8034043,200.0,-7.954333,47.475886309620115,1.0,0.0033333334,0.0033333334,-6.963757795367933,500,47.475886309620115,1.0,2,299.999969473632,1.0,-6.963757795367933,0.0033333336,,1.0,-6.963757795367933,100,0.9
-7.7060795,5.434597e-20,500.0,6.893678,200.0,-8.0916395,51.279600559801324,1.0,0.0025,0.0025,-8.296937986156705,500,51.279600559801324,1.0,2,400.0,1.0,-8.296937986156705,0.0024999997,,1.0,-8.296937986156705,100,0.9
-7.3007994,5.7884625e-07,431.77079800057464,7.215527,200.0,-7.6733756,46.34949225581715,0.010035941,0.0022912014,1.6189759e-05,-6.919304102780123,500,46.34949225581715,1.2397888,1,436.90183184139136,1.1580218,-6.919304102780123,0.0019999999,0.22243263,1.4203029,-6.919304102780123,100,0.9
-6.983616,3.5044917e-18,500.0,6.9281483,200.0,-7.7417655,48.48407827214349,1.0,0.01,0.01,-6.983616416960818,500,48.48407827214349,1.0,2,100.0,1.0,-6.983616416960818,0.009999998,,1.0,-6.983616416960818,100,0.9
-6.8379483,2.179301e-19,500.0,6.575306,200.0,-7.3771405,38.81577057532865,1.0,0.005,0.005,-6.692279716423652,500,38.81577057532865,1.0,2,200.00000010221265,1.0,-6.692279716423652,0.0049999994,,1.0,-6.692279716423652,100,0.9
-7.11086,5.4391416e-20,500.0,6.9002266,200.0,-7.5560474,56.48809551361674,1.0,0.0033333334,0.0033333334,-7.656682920757259,500,56.48809551361674,1.0,2,299.999969473632,1.0,-7.656682920757259,0.0033333336,,1.0,-7.656682920757259,100,0.9
-7.0310707,5.434597e-20,500.0,6.8436027,200.0,-7.4186234,44.872522876167025,1.0,0.0025,0.0025,-6.791702630891191,500,44.872522876167025,1.0,2,400.0,1.0,-6.791702630891191,0.0024999997,,1.0,-6.791702630891191,100,0.9
-7.5423746,9.724384e-08,491.58016096266783,7.1225224,200.0,-7.8919687,54.249853970839,0.123053074,0.002054786,0.00022857971,-9.660332762245902,500,54.249853970839,1.0766754,1,488.15614393623275,1.0171281,-9.660332762245902,0.0019999999,0.028182002,1.1061689,-9.660332762245902,100,0.9
-7.772235,3.5044917e-18,500.0,6.8431892,200.0,-8.547846,47.30226264185067,1.0,0.01,0.01,-7.77223521697845,500,47.30226264185067,1.0,2,100.0,1.0,-7.77223521697845,0.009999998,,1.0,-7.77223521697845,100,0.9
-7.993968,2.179301e-19,500.0,6.900636,200.0,-8.542408,48.79796230727285,1.0,0.005,0.005,-8.215700022076952,500,48.79796230727285,1.0,2,200.00000010221265,1.0,-8.215700022076952,0.0049999994,,1.0,-8.215700022076952,100,0.9
-8.199171,5.4391416e-20,500.0,7.0786896,200.0,-8.646971,55.387195432672186,1.0,0.0033333334,0.0033333334,-8.609575771804831,500,55.387195432672186,1.0,2,299.999969473632,1.0,-8.609575771804831,0.0033333336,,1.0,-8.609575771804831,100,0.9
-7.909718,5.434597e-20,500.0,6.957688,200.0,-8.2975235,42.7361173137773,1.0,0.0025,0.0025,-7.041361388353174,500,42.7361173137773,1.0,2,400.0,1.0,-7.041361388353174,0.0024999997,,1.0,-7.041361388353174,100,0.9
-7.8604474,3.2318184e-08,493.75086670893575,6.9465594,200.0,-8.209499,45.765417421423635,0.11503822,0.0020180496,0.00021307483,-7.740328102382733,500,45.765417421423635,1.0797918,1,496.000613969105,1.0126565,-7.740328102382733,0.0019999999,0.009420348,1.0895367,-7.740328102382733,100,0.9
-7.916667,3.5044917e-18,500.0,6.794677,200.0,-8.667326,46.633972032224584,1.0,0.01,0.01,-7.916667679709644,500,46.633972032224584,1.0,2,100.0,1.0,-7.916667679709644,0.009999998,,1.0,-7.916667679709644,100,0.9
-7.915465,2.179301e-19,500.0,6.9219465,200.0,-8.460068,50.16065022732663,1.0,0.005,0.005,-7.914261696184331,500,50.16065022732663,1.0,2,200.00000010221265,1.0,-7.914261696184331,0.0049999994,,1.0,-7.914261696184331,100,0.9
-7.8698206,5.4391416e-20,500.0,7.1262193,200.0,-8.3144865,57.08062883993726,1.0,0.0033333334,0.0033333334,-7.778533133062346,500,57.08062883993726,1.0,2,299.999969473632,1.0,-7.778533133062346,0.0033333336,,1.0,-7.778533133062346,100,0.9
-7.658774,5.434597e-20,500.0,7.060291,200.0,-8.043866,46.9770854647485,1.0,0.0025,0.0025,-7.02563177245828,500,46.9770854647485,1.0,2,400.0,1.0,-7.02563177245828,0.0024999997,,1.0,-7.02563177245828,100,0.9
-6.3770742,0.00025722105,283.2842844878515,48.775795,200.0,-6.8354053,40.660920813749684,0.7404331,0.14738056,0.00023424393,-7.156363059011859,500,40.660920813749684,6.321898,1,7.671460176097831,1.7650114,-7.156363059011859,0.0019999999,2570.049,465.86243,-7.156363059011859,100,0.9
-8.902283,3.5044917e-18,500.0,7.31232,200.0,-9.672422,54.0101301417699,1.0,0.01,0.01,-8.902282713868365,500,54.0101301417699,1.0,2,100.0,1.0,-8.902282713868365,0.009999998,,1.0,-8.902282713868365,100,0.9
-8.5285,2.179301e-19,500.0,7.1369505,200.0,-9.073071,48.60875450583012,1.0,0.005,0.005,-8.15471598991635,500,48.60875450583012,1.0,2,200.00000010221265,1.0,-8.15471598991635,0.0049999994,,1.0,-8.15471598991635,100,0.9
-7.8715487,5.4391416e-20,500.0,7.1220737,200.0,-8.317243,48.1920996144954,1.0,0.0033333334,0.0033333334,-6.557648142634479,500,48.1920996144954,1.0,2,299.999969473632,1.0,-6.557648142634479,0.0033333336,,1.0,-6.557648142634479,100,0.9
-7.8162227,5.434597e-20,500.0,7.0565834,200.0,-8.202206,47.4474288464434,1.0,0.0025,0.0025,-7.650243060112501,500,47.4474288464434,1.0,2,400.0,1.0,-7.650243060112501,0.0024999997,,1.0,-7.650243060112501,100,0.9
-7.9965425,1.1970684e-07,484.44102975873955,7.1652093,200.0,-8.347276,49.80065745299726,0.088011116,0.0020648448,0.00015764269,-8.964747891843743,500,49.80065745299726,1.1165898,1,485.49980118919154,1.0321174,-8.964747891843743,0.0019999999,0.037311796,1.1527923,-8.964747891843743,100,0.9
-8.468606,3.5044917e-18,500.0,7.7523646,200.0,-9.239738,60.70622190194864,1.0,0.01,0.01,-8.468606051728486,500,60.70622190194864,1.0,2,100.0,1.0,-8.468606051728486,0.009999998,,1.0,-8.468606051728486,100,0.9
-7.50383,2.179301e-19,500.0,7.228223,200.0,-8.05271,42.96328473726273,1.0,0.005,0.005,-6.539054558840097,500,42.96328473726273,1.0,2,200.00000010221265,1.0,-6.539054558840097,0.0049999994,,1.0,-6.539054558840097,100,0.9
