BatchSize,AvgEpLen,AvgNormIw,Delta,VarJ,ESSClassic,VarRet,MaxVanillaIw,AvgRet,VarVanillaIw,ESSRenyi,MinVanillaIw,AvgVanillaIw,J,AvgDiscRet,VarNormIw,eRenyi2,EpsThisIter,MinNormIw,VanillaAvgRet,Bound,IterType,VarDiscRet,MaxNormIw
400,200.0,0.0025,0.9,19.849606,35.444640719092504,79.23552323865174,17.017649,-9.753411087794602,13.866238,33.20969675030169,,1.1596564,-5.1926146,-9.753411087794602,6.444364e-05,12.044675,100,,-9.753411087794602,-7.0078287,1,79.23552323865174,0.036686834
400,200.0,0.009999998,0.9,7.570059,100.0,57.88464179395982,1.0,-7.948639717528612,,400.0,1.0,1.0,-7.9486394,-7.948639717528612,3.5044917e-18,1.0,100,0.01,-7.948639717528612,-8.755578,2,57.88464179395982,0.01
400,200.0,0.0049999994,0.9,7.173144,200.00000010221265,45.676872233707364,1.0,-7.0744618620976185,,400.0,1.0,1.0,-7.511551,-7.0744618620976185,2.179301e-19,1.0,100,0.005,-7.0744618620976185,-8.082143,2,45.676872233707364,0.005
400,200.0,0.0033333336,0.9,7.0900235,299.999969473632,48.10694929127114,1.0,-6.873452619973101,,400.0,1.0,1.0,-7.298852,-6.873452619973101,5.4391416e-20,1.0,100,0.0033333334,-6.873452619973101,-7.764738,2,48.10694929127114,0.0033333334
500,200.0,nan,0.9,nan,nan,79.23552323865174,inf,-9.753411087794602,nan,nan,0.058762528,inf,nan,-8.608618609666205,nan,nan,100,nan,-9.753411087794602,nan,,60.083139060933654,nan
500,200.0,0.002,0.9,18.856812,48.39287570695457,56.40330765193419,16.378813,-7.408550291625442,11.813181,43.03720057247436,,1.1239812,-4.999994,-7.408550291625442,3.74032e-05,11.617856,100,,-7.408550291625442,-6.5945444,1,56.40330765193419,0.029144282
500,200.0,0.009999998,0.9,6.310714,100.0,40.22738505027515,1.0,-7.882351039295608,,500.0,1.0,1.0,-7.882351,-7.882351039295608,3.5044917e-18,1.0,100,0.01,-7.882351039295608,-8.676685,2,40.22738505027515,0.01
500,200.0,0.0049999994,0.9,7.0041084,200.00000010221265,58.016212134284324,1.0,-9.189187727098325,,500.0,1.0,1.0,-8.535769,-9.189187727098325,2.179301e-19,1.0,100,0.005,-9.189187727098325,-9.097448,2,58.016212134284324,0.005
500,200.0,0.0033333336,0.9,6.996096,299.999969473632,48.97869073398983,1.0,-7.945736170810952,,500.0,1.0,1.0,-8.339092,-7.945736170810952,5.4391416e-20,1.0,100,0.0033333334,-7.945736170810952,-8.797701,2,48.97869073398983,0.0033333334
500,200.0,0.0024999997,0.9,7.1342463,400.0,57.19159402759631,1.0,-8.761968293994746,,500.0,1.0,1.0,-8.444811,-8.761968293994746,5.434597e-20,1.0,100,0.0025,-8.761968293994746,-8.853956,2,57.19159402759631,0.0025
500,200.0,0.0019999999,0.9,26.353199,14.905133857815198,62.17923962181967,59.35864,-7.749917659265013,56.08515,11.653289045524216,,1.3114262,-5.1558905,-7.749917659265013,0.00013044286,42.90634,100,,-7.749917659265013,-7.552976,1,62.17923962181967,0.09052532
500,200.0,0.009999998,0.9,6.5599394,100.0,43.46748062847195,1.0,-6.972956428210577,,500.0,1.0,1.0,-6.9729557,-6.972956428210577,3.5044917e-18,1.0,100,0.01,-6.972956428210577,-7.747199,2,43.46748062847195,0.01
