VarVanillaIw,Bound,VarRet,VanillaAvgRet,AvgVanillaIw,VarDiscRet,VarNormIw,J,AvgDiscRet,MinNormIw,eRenyi2,ESSRenyi,MinVanillaIw,ESSClassic,MaxVanillaIw,VarJ,AvgRet,AvgNormIw,AvgEpLen,BatchSize,MaxNormIw
95.683655,1173.7913,72277.86223897936,121.2000039459196,0.54689103,72277.86223897936,0.0012796642,4047.3452,121.2000039459196,,233.15268,2.1445174946894263,,1.56115242728022,217.22688,18607.309,121.2000039459196,0.0020000003,13.124,500,0.7944064
73.84328,3087.2563,393803.7691407708,478.26037402161853,0.67125106,393803.7691407708,0.0006555427,4723.1094,478.26037402161853,,75.55908,6.617338201557401,,3.0384436011027756,147.478,3925.244,478.26037402161853,0.002,48.832,500,0.43941236
4.314409,4556.4434,3760757.951062901,3065.369643409477,1.1653657,3760757.951062901,1.2707402e-05,4942.7344,3065.369643409477,2.155356e-19,4.2133384,118.67074407218371,1.255889e-16,119.8897953971354,12.804041,274.57825,3065.369643409477,0.002,307.114,500,0.021974288
0.32072124,4766.2183,391500.06049945456,4880.869086026752,1.0184042,391500.06049945456,1.2369361e-06,4980.9336,4880.869086026752,1.0698768e-05,1.301736,384.10246092562716,0.0054478357,382.08310856642083,2.1216662,118.2981,4880.869086026752,0.002,488.15,500,0.0041666483
0.019734029,4806.8516,46079.827624964564,4990.221293092238,1.0006461,46079.827624964564,7.883421e-08,4997.057,4990.221293092238,0.00057612424,1.0215125,489.4702667781374,0.28824824,490.3551740008742,1.2198564,61.863842,4990.221293092238,0.0019999999,499.042,500,0.0024381375
0.015019824,4806.932,12363.07427502489,4992.543160971052,0.99374527,12363.07427502489,6.083797e-08,4996.4595,4992.543160971052,0.00066124834,1.0142417,492.9791412300501,0.3285562,492.5240026361541,1.1653967,45.27083,4992.543160971052,0.002,499.278,500,0.0023454637
0.007639807,4808.8286,7919.622375136442,4995.855230560125,0.99762,7919.622375136442,3.0705216e-08,4997.7544,4995.855230560125,0.0010462196,1.0078127,496.1239136395326,0.5218648,496.1986655550379,1.1092657,46.5515,4995.855230560125,0.002,499.604,500,0.0022238242
0.015611087,4807.299,29045.911139828364,4992.223034441797,1.002262,29045.911139828364,6.2162805e-08,4997.0947,4992.223034441797,0.00072199776,1.0171174,491.58534628646146,0.36181545,492.3636377199995,1.180775,61.542942,4992.223034441797,0.002,499.24,500,0.0023562205
0.0051686075,4809.7925,1728.620130734379,4997.332013529878,0.99775535,1728.620130734379,2.0767555e-08,4998.4175,4997.332013529878,0.0010552274,1.0046057,497.70773193558085,0.52642936,497.4225604353387,1.068972,23.159351,4997.332013529878,0.002,499.752,500,0.0021427537
0.0026956722,4810.404,616.4486394321799,4998.322062289308,0.99741066,616.4486394321799,1.0838748e-08,4998.808,4998.322062289308,0.0013085263,1.0022573,498.8738685161802,0.652569,498.65150167452504,1.0544088,16.720385,4998.322062289308,0.0019999999,499.852,500,0.0021142922
0.026071738,4802.4893,56881.37856121011,4986.078308525935,1.0154018,56881.37856121011,1.0114727e-07,4993.555,4986.078308525935,0.0006255901,1.0307754,485.07171058421693,0.31761265,487.6924933790851,1.3372338,117.35387,4986.078308525935,0.0020000003,498.628,500,0.0026339008
0.013271076,4808.46,14597.716067983403,4994.441707053892,0.99509865,14597.716067983403,5.3608527e-08,4997.792,4994.441707053892,0.00076162774,1.0121524,493.9967375493932,0.37894738,493.4006207130751,1.1274829,46.022427,4994.441707053892,0.002,499.462,500,0.0022660727
,4811.661,0.02945780357785814,4999.852806188006,1.0,0.02945780357785814,5.431875e-20,4999.8535,4999.852806188006,0.002,1.0,500.0,1.0,500.00000664260017,1.0,0.17146444,4999.852806188006,0.0020000003,500.0,500,0.002
,4811.668,0.021782080193698632,4999.859515055432,1.0,0.021782080193698632,5.431875e-20,4999.8604,4999.859515055432,0.002,1.0,500.0,1.0,500.00000664260017,1.0,0.14744687,4999.859515055432,0.0020000003,500.0,500,0.002
0.044321142,4802.3125,79918.83055268937,4982.078432200724,1.0024778,79918.83055268937,1.7640927e-07,4994.4194,4982.078432200724,0.00043347786,1.0420384,479.82874764393017,0.21727596,478.9207151921189,1.3101996,87.40069,4982.078432200724,0.002,498.228,500,0.0026139226
