MinNormIw,Bound,EpsThisIter,VarVanillaIw,VanillaAvgRet,AvgEpLen,MaxVanillaIw,J,ESSRenyi,BatchSize,VarJ,MinVanillaIw,AvgRet,MaxNormIw,eRenyi2,VarNormIw,VarDiscRet,IterType,Delta,AvgNormIw,VarRet,AvgVanillaIw,ESSClassic,AvgDiscRet
0.005,-8.122589,100,,-7.381353729883001,200.0,1.0,-7.5767155,500.0,500,6.857178,1.0,-7.381353729883001,0.005,1.0,2.179301e-19,46.369510399591434,2,0.9,0.0049999994,46.369510399591434,1.0,200.00000010221265,-7.381353729883001
0.0033333334,-8.312127,100,,-8.445838446669523,200.0,1.0,-7.8664236,500.0,500,6.937416,1.0,-8.445838446669523,0.0033333334,1.0,5.4391416e-20,50.341249412876,2,0.9,0.0033333336,50.341249412876,1.0,299.999969473632,-8.445838446669523
0.0025,-8.208514,100,,-7.690825061489618,200.0,1.0,-7.822523,500.0,500,6.981448,1.0,-7.690825061489618,0.0025,1.0,5.434597e-20,51.06683483547601,2,0.9,0.0024999997,51.06683483547601,1.0,400.0,-7.690825061489618
,-6.7588744,100,44.56193,-8.326021182421112,200.0,58.9815,-4.259217,9.537905811433669,500,31.856438,,-8.326021182421112,0.116470315,52.42241,0.00017376522,45.21990996241107,1,0.9,0.002,45.21990996241107,1.012816,11.272833542180376,-8.326021182421112
0.01,-8.999621,100,,-8.223946991821904,200.0,1.0,-8.223948,500.0,500,7.428369,1.0,-8.223946991821904,0.01,1.0,3.5044917e-18,55.73804950790815,2,0.9,0.009999998,55.73804950790815,1.0,100.0,-8.223946991821904
0.005,-8.337407,100,,-7.353898474536821,200.0,1.0,-7.788923,500.0,500,7.192895,1.0,-7.353898474536821,0.005,1.0,2.179301e-19,48.40032291335915,2,0.9,0.0049999994,48.40032291335915,1.0,200.00000010221265,-7.353898474536821
0.0033333334,-8.489416,100,,-8.546898748984807,200.0,1.0,-8.041581,500.0,500,7.0903835,1.0,-8.546898748984807,0.0033333334,1.0,5.4391416e-20,47.43650239783342,2,0.9,0.0033333336,47.43650239783342,1.0,299.999969473632,-8.546898748984807
0.0025,-8.471515,100,,-8.209967642887555,200.0,1.0,-8.083678,500.0,500,7.1594496,1.0,-8.209967642887555,0.0025,1.0,5.434597e-20,54.73632255118641,2,0.9,0.0024999997,54.73632255118641,1.0,400.0,-8.209967642887555
,-7.3678055,100,10.238204,-7.943308437759035,200.0,19.804497,-6.068931,35.66346792343532,500,25.406223,,-7.943308437759035,0.048294716,14.019949,6.0882918e-05,52.6522143884416,1,0.9,0.002,52.6522143884416,0.82015175,30.882711926600685,-7.943308437759035
0.01,-9.376846,100,,-8.617170238837282,200.0,1.0,-8.617169,500.0,500,6.9074917,1.0,-8.617170238837282,0.01,1.0,3.5044917e-18,48.19539756290015,2,0.9,0.009999998,48.19539756290015,1.0,100.0,-8.617170238837282
0.005,-8.881205,100,,-8.065156515606619,200.0,1.0,-8.341164,500.0,500,7.150655,1.0,-8.065156515606619,0.005,1.0,2.179301e-19,54.947417105233306,2,0.9,0.0049999994,54.947417105233306,1.0,200.00000010221265,-8.065156515606619
0.0033333334,-8.462385,100,,-7.37896546130653,200.0,1.0,-8.020431,500.0,500,6.9947295,1.0,-7.37896546130653,0.0033333334,1.0,5.4391416e-20,44.34115730159195,2,0.9,0.0033333336,44.34115730159195,1.0,299.999969473632,-7.37896546130653
0.0025,-8.431987,100,,-8.12869075556714,200.0,1.0,-8.047496,500.0,500,7.0906067,1.0,-8.12869075556714,0.0025,1.0,5.434597e-20,54.86800167362208,2,0.9,0.0024999997,54.86800167362208,1.0,400.0,-8.12869075556714
