MaxNormIw,ESSRenyi,BatchSize,VarJ,AvgRet,MinNormIw,IterType,MinVanillaIw,Delta,EpsThisIter,VarVanillaIw,AvgDiscRet,J,VarRet,eRenyi2,VanillaAvgRet,MaxVanillaIw,AvgNormIw,AvgEpLen,VarDiscRet,VarNormIw,Bound,AvgVanillaIw,ESSClassic
0.01,500.0,500,8.11856,-9.064243195985933,0.01,2,1.0,0.9,100,,-9.064243195985933,-9.064242,66.57678544153448,1.0,-9.064243195985933,1.0,0.009999998,200.0,66.57678544153448,3.5044917e-18,-9.952609,1.0,100.0
0.005,500.0,500,8.316535,-9.656093953388345,0.005,2,1.0,0.9,100,,-9.656093953388345,-9.360168,72.97308388154781,1.0,-9.656093953388345,1.0,0.0049999994,200.0,72.97308388154781,2.179301e-19,-9.988338,1.0,200.00000010221265
0.0033333334,500.0,500,8.343503,-8.918227645139575,0.0033333334,2,1.0,0.9,100,,-8.918227645139575,-9.212855,71.09331124504601,1.0,-8.918227645139575,1.0,0.0033333336,200.0,71.09331124504601,5.4391416e-20,-9.733807,1.0,299.999969473632
0.0025,500.0,500,8.179071,-8.699561351398149,0.0025,2,1.0,0.9,100,,-8.699561351398149,-9.084532,59.140559399059036,1.0,-8.699561351398149,1.0,0.0024999997,200.0,59.140559399059036,5.434597e-20,-9.535689,1.0,400.0
0.013945081,104.14193661160505,500,13.926903,-8.72244506933197,,1,,0.9,100,3.7724218,-8.72244506933197,-7.416219,66.01758469647199,4.80114,-8.72244506933197,6.747365,0.002,200.0,66.01758469647199,1.6113647e-05,-8.300408,0.96770537,99.5945485741065
0.01,500.0,500,8.247064,-9.603181303465687,0.01,2,1.0,0.9,100,,-9.603181303465687,-9.603181,68.70107481642741,1.0,-9.603181303465687,1.0,0.009999998,200.0,68.70107481642741,3.5044917e-18,-10.505917,1.0,100.0
0.005,500.0,500,8.076337,-8.524968845915897,0.005,2,1.0,0.9,100,,-8.524968845915897,-9.064075,62.48393579587581,1.0,-8.524968845915897,1.0,0.0049999994,200.0,62.48393579587581,2.179301e-19,-9.702406,1.0,200.00000010221265
0.0033333334,500.0,500,8.131905,-9.31920540629688,0.0033333334,2,1.0,0.9,100,,-9.31920540629688,-9.149118,68.57150781342564,1.0,-9.31920540629688,1.0,0.0033333336,200.0,68.57150781342564,5.4391416e-20,-9.670313,1.0,299.999969473632
0.0025,500.0,500,8.192743,-8.66100621994668,0.0025,2,1.0,0.9,100,,-8.66100621994668,-9.02709,70.62814445792087,1.0,-8.66100621994668,1.0,0.0024999997,200.0,70.62814445792087,5.434597e-20,-9.478458,1.0,400.0
0.086880684,15.204208533088282,500,28.114124,-10.580274396125779,,1,,0.9,100,36.322956,-10.580274396125779,-5.1322727,89.7402786398021,32.88563,-10.580274396125779,46.50157,0.0019999999,200.0,89.7402786398021,0.00012679215,-7.447421,1.0704697,15.321147793740275
0.01,500.0,500,8.663566,-10.317057896175733,0.01,2,1.0,0.9,100,,-10.317057896175733,-10.317059,75.81552295064822,1.0,-10.317057896175733,1.0,0.009999998,200.0,75.81552295064822,3.5044917e-18,-11.219654,1.0,100.0
0.005,500.0,500,8.27993,-9.892656842479282,0.005,2,1.0,0.9,100,,-9.892656842479282,-10.1048565,62.5929964790605,1.0,-9.892656842479282,1.0,0.0049999994,200.0,62.5929964790605,2.179301e-19,-10.743088,1.0,200.00000010221265
0.0033333334,500.0,500,8.573446,-10.807351131717352,0.0033333334,2,1.0,0.9,100,,-10.807351131717352,-10.339023,83.90749793448214,1.0,-10.807351131717352,1.0,0.0033333336,200.0,83.90749793448214,5.4391416e-20,-10.860296,1.0,299.999969473632
0.0025,500.0,500,8.349203,-9.487117754164876,0.0025,2,1.0,0.9,100,,-9.487117754164876,-10.126045,58.364214961559455,1.0,-9.487117754164876,1.0,0.0024999997,200.0,58.364214961559455,5.434597e-20,-10.577481,1.0,400.0
0.01400016,85.76656336164201,500,18.705185,-8.934398026304034,2.4081022e-25,1,1.2188906e-22,0.9,100,5.07303,-8.934398026304034,-8.81452,64.16327722736365,5.8297777,-8.934398026304034,7.0863533,0.002,200.0,64.16327722736365,1.9801031e-05,-9.789436,1.0123247,84.17000529786989
0.01,500.0,500,8.549317,-12.428169236563853,0.01,2,1.0,0.9,100,,-12.428169236563853,-12.428169,73.82911720107042,1.0,-12.428169236563853,1.0,0.009999998,200.0,73.82911720107042,3.5044917e-18,-13.3081665,1.0,100.0
0.005,500.0,500,8.549091,-9.56876153683982,0.005,2,1.0,0.9,100,,-9.56876153683982,-10.998465,69.69191671755044,1.0,-9.56876153683982,1.0,0.0049999994,200.0,69.69191671755044,2.179301e-19,-11.631352,1.0,200.00000010221265
0.0033333334,500.0,500,8.431736,-8.787016530978033,0.0033333334,2,1.0,0.9,100,,-8.787016530978033,-10.261316,64.49315945444042,1.0,-8.787016530978033,1.0,0.0033333336,200.0,64.49315945444042,5.4391416e-20,-10.781692,1.0,299.999969473632
0.0025,500.0,500,8.248457,-8.089037439385697,0.0025,2,1.0,0.9,100,,-8.089037439385697,-9.718246,55.88542283936239,1.0,-8.089037439385697,1.0,0.0024999997,200.0,55.88542283936239,5.434597e-20,-10.168904,1.0,400.0
0.0071158353,475.5425145464193,500,8.4112835,-9.194324614811144,0.00165198,1,0.87406075,0.9,100,0.15322351,-9.194324614811144,-9.591507,66.96708411763588,1.0514307,-9.194324614811144,3.7649806,0.0020000003,200.0,66.96708411763588,5.4733306e-07,-10.005649,1.0581977,439.9241019846201
0.01,500.0,500,8.387207,-9.04400420869505,0.01,2,1.0,0.9,100,,-9.04400420869505,-9.044004,71.05580479248384,1.0,-9.04400420869505,1.0,0.009999998,200.0,71.05580479248384,3.5044917e-18,-9.939634,1.0,100.0
0.005,500.0,500,8.34207,-8.85303103645109,0.005,2,1.0,0.9,100,,-8.85303103645109,-8.948517,69.51188040189814,1.0,-8.85303103645109,1.0,0.0049999994,200.0,69.51188040189814,2.179301e-19,-9.581823,1.0,200.00000010221265
0.0033333334,500.0,500,8.161581,-9.333940256008233,0.0033333334,2,1.0,0.9,100,,-9.333940256008233,-9.076992,61.16661105579012,1.0,-9.333940256008233,1.0,0.0033333336,200.0,61.16661105579012,5.4391416e-20,-9.598677,1.0,299.999969473632
0.0025,500.0,500,8.172273,-8.708717264236922,0.0025,2,1.0,0.9,100,,-8.708717264236922,-8.984922,67.88712576643512,1.0,-8.708717264236922,1.0,0.0024999997,200.0,67.88712576643512,5.434597e-20,-9.436715,1.0,400.0
0.052143745,56.271260515818454,500,17.859589,-8.514220410924736,1.7218778e-06,1,0.0010729963,0.9,100,11.671271,-8.514220410924736,-7.5258756,67.77648408693155,8.88553,-8.514220410924736,32.49362,0.0019999999,200.0,67.77648408693155,3.0055664e-05,-8.730428,1.2463094,58.831219138289015
0.01,500.0,500,8.029494,-8.475716205826998,0.01,2,1.0,0.9,100,,-8.475716205826998,-8.475717,65.12402082393989,1.0,-8.475716205826998,1.0,0.009999998,200.0,65.12402082393989,3.5044917e-18,-9.356548,1.0,100.0
0.005,500.0,500,7.74345,-7.877061151204227,0.005,2,1.0,0.9,100,,-7.877061151204227,-8.176388,55.82836619404754,1.0,-7.877061151204227,1.0,0.0049999994,200.0,55.82836619404754,2.179301e-19,-8.809782,1.0,200.00000010221265
0.0033333334,500.0,500,8.133455,-10.855170156709544,0.0033333334,2,1.0,0.9,100,,-10.855170156709544,-9.069316,74.4982974934601,1.0,-10.855170156709544,1.0,0.0033333336,200.0,74.4982974934601,5.4391416e-20,-9.58648,1.0,299.999969473632
0.0025,500.0,500,8.054144,-9.053136851596449,0.0025,2,1.0,0.9,100,,-9.053136851596449,-9.065271,61.63379355067426,1.0,-9.053136851596449,1.0,0.0024999997,200.0,61.63379355067426,5.434597e-20,-9.51317,1.0,400.0
0.011261517,382.7743930262356,500,8.643732,-9.078334049667077,0.0014941974,1,0.7800659,0.9,100,0.39381054,-9.078334049667077,-8.942374,74.450182576308,1.3062525,-9.078334049667077,5.8792267,0.0020000003,200.0,74.450182576308,1.4449097e-06,-9.404066,1.044127,367.5105671411258
0.01,500.0,500,7.6722164,-9.448934432456047,0.01,2,1.0,0.9,100,,-9.448934432456047,-9.448935,59.45748519481496,1.0,-9.448934432456047,1.0,0.009999998,200.0,59.45748519481496,3.5044917e-18,-10.350604,1.0,100.0
0.005,500.0,500,7.894907,-8.798329301870375,0.005,2,1.0,0.9,100,,-8.798329301870375,-9.123632,66.2470353966892,1.0,-8.798329301870375,1.0,0.0049999994,200.0,66.2470353966892,2.179301e-19,-9.7612095,1.0,200.00000010221265
0.0033333334,500.0,500,8.049457,-10.103838404854134,0.0033333334,2,1.0,0.9,100,,-10.103838404854134,-9.450367,69.77938983578697,1.0,-10.103838404854134,1.0,0.0033333336,200.0,69.77938983578697,5.4391416e-20,-9.971405,1.0,299.999969473632
0.0025,500.0,500,7.9899697,-8.313894007439364,0.0025,2,1.0,0.9,100,,-8.313894007439364,-9.166248,60.61469588424502,1.0,-8.313894007439364,1.0,0.0024999997,200.0,60.61469588424502,5.434597e-20,-9.61748,1.0,400.0
0.0043226583,445.68574737804033,500,8.345893,-9.278907852576006,0.0016237014,1,0.82951945,0.9,100,0.102516204,-9.278907852576006,-9.128011,77.16566623751456,1.1218667,-9.278907852576006,2.2083673,0.002,200.0,77.16566623751456,3.9278214e-07,-9.5554905,1.0217636,455.37369752964946
0.01,500.0,500,8.001526,-8.83285059778054,0.01,2,1.0,0.9,100,,-8.83285059778054,-8.83285,64.67112252247477,1.0,-8.83285059778054,1.0,0.009999998,200.0,64.67112252247477,3.5044917e-18,-9.680276,1.0,100.0
0.005,500.0,500,8.282536,-9.734631496757185,0.005,2,1.0,0.9,100,,-9.734631496757185,-9.283741,73.5048052837774,1.0,-9.734631496757185,1.0,0.0049999994,200.0,73.5048052837774,2.179301e-19,-9.89837,1.0,200.00000010221265
0.0033333334,500.0,500,8.1867075,-8.90766534393993,0.0033333334,2,1.0,0.9,100,,-8.90766534393993,-9.158382,64.41563173756387,1.0,-8.90766534393993,1.0,0.0033333336,200.0,64.41563173756387,5.4391416e-20,-9.672281,1.0,299.999969473632
0.0025,500.0,500,8.182647,-9.658655526667072,0.0025,2,1.0,0.9,100,,-9.658655526667072,-9.283449,67.24096732166336,1.0,-9.658655526667072,1.0,0.0024999997,200.0,67.24096732166336,5.434597e-20,-9.728498,1.0,400.0
0.0022515221,488.9376262691319,500,8.232371,-9.898462533229509,0.00022898514,1,0.11436538,0.9,100,0.025010804,-9.898462533229509,-9.397098,58.91517515252702,1.0226253,-9.898462533229509,1.1245104,0.002,200.0,58.91517515252702,1.0026587e-07,-9.803604,0.998889,487.7970869029183
0.01,500.0,500,7.7573657,-8.0630286147631,0.01,2,1.0,0.9,100,,-8.0630286147631,-8.063028,60.78456224540836,1.0,-8.0630286147631,1.0,0.009999998,200.0,60.78456224540836,3.5044917e-18,-8.916789,1.0,100.0
0.005,500.0,500,7.8580065,-8.534122276421392,0.005,2,1.0,0.9,100,,-8.534122276421392,-8.298575,63.84732619590033,1.0,-8.534122276421392,1.0,0.0049999994,200.0,63.84732619590033,2.179301e-19,-8.932221,1.0,200.00000010221265
0.0033333334,500.0,500,8.1508045,-9.541831498185301,0.0033333334,2,1.0,0.9,100,,-9.541831498185301,-8.712994,75.53519054713404,1.0,-9.541831498185301,1.0,0.0033333336,200.0,75.53519054713404,5.4391416e-20,-9.230363,1.0,299.999969473632
0.0025,500.0,500,8.237309,-8.945314304295316,0.0025,2,1.0,0.9,100,,-8.945314304295316,-8.771074,72.79369240227135,1.0,-8.945314304295316,1.0,0.0024999997,200.0,72.79369240227135,5.434597e-20,-9.219832,1.0,400.0
0.0029075409,431.0877897940528,500,8.846268,-9.039094386664026,0.0001759564,1,0.086155705,0.9,100,0.17480698,-9.039094386664026,-8.740746,70.64313740147522,1.1598566,-9.039094386664026,1.4236552,0.0019999999,200.0,70.64313740147522,7.2912314e-07,-9.1755905,0.97928464,423.0418468435634
0.01,500.0,500,7.6278863,-8.532742928936731,0.01,2,1.0,0.9,100,,-8.532742928936731,-8.5327425,58.77237013996537,1.0,-8.532742928936731,1.0,0.009999998,200.0,58.77237013996537,3.5044917e-18,-9.385058,1.0,100.0
0.005,500.0,500,7.7970457,-8.694279633202113,0.005,2,1.0,0.9,100,,-8.694279633202113,-8.613511,64.03045376676089,1.0,-8.694279633202113,1.0,0.0049999994,200.0,64.03045376676089,2.179301e-19,-9.246185,1.0,200.00000010221265
0.0033333334,500.0,500,8.0837,-9.55582321395899,0.0033333334,2,1.0,0.9,100,,-9.55582321395899,-8.927615,74.60485389938093,1.0,-9.55582321395899,1.0,0.0033333336,200.0,74.60485389938093,5.4391416e-20,-9.448796,1.0,299.999969473632
0.0025,500.0,500,8.089174,-8.479139313963374,0.0025,2,1.0,0.9,100,,-8.479139313963374,-8.8154955,66.2116259690471,1.0,-8.479139313963374,1.0,0.0024999997,200.0,66.2116259690471,5.434597e-20,-9.266851,1.0,400.0
0.003473229,346.40989593424865,500,10.4567585,-7.198859371172297,2.106959e-09,1,1.1486998e-06,0.9,100,0.8362197,-7.198859371172297,-8.097193,55.2037816262136,1.4433768,-7.198859371172297,1.8935809,0.0020000003,200.0,55.2037816262136,2.8133227e-06,-8.582207,1.0903865,293.7851543392179
0.01,500.0,500,8.122905,-9.321447977623421,0.01,2,1.0,0.9,100,,-9.321447977623421,-9.321447,66.64805482983355,1.0,-9.321447977623421,1.0,0.009999998,200.0,66.64805482983355,3.5044917e-18,-10.187026,1.0,100.0
0.005,500.0,500,8.320196,-10.905505124771153,0.005,2,1.0,0.9,100,,-10.905505124771153,-10.113476,71.93448299162988,1.0,-10.905505124771153,1.0,0.0049999994,200.0,71.93448299162988,2.179301e-19,-10.72915,1.0,200.00000010221265
0.0033333334,500.0,500,8.358109,-9.496412346768329,0.0033333334,2,1.0,0.9,100,,-9.496412346768329,-9.907789,71.58463431118324,1.0,-9.496412346768329,1.0,0.0033333336,200.0,71.58463431118324,5.4391416e-20,-10.422053,1.0,299.999969473632
0.0025,500.0,500,8.388429,-8.938794513845659,0.0025,2,1.0,0.9,100,,-8.938794513845659,-9.66554,71.9037888301411,1.0,-8.938794513845659,1.0,0.0024999997,200.0,71.9037888301411,5.434597e-20,-10.117465,1.0,400.0
0.0022288773,462.9680547600517,500,8.92254,-9.885484152909322,0.00010964631,1,0.06235937,0.9,100,0.1402265,-9.885484152909322,-9.588702,76.5219736984336,1.0799881,-9.885484152909322,1.2676339,0.0020000003,200.0,76.5219736984336,4.335255e-07,-10.008772,1.1374642,451.196463828593
0.01,500.0,500,7.9311357,-8.806499724310248,0.01,2,1.0,0.9,100,,-8.806499724310248,-8.8064995,63.53830056732109,1.0,-8.806499724310248,1.0,0.009999998,200.0,63.53830056732109,3.5044917e-18,-9.702105,1.0,100.0
0.005,500.0,500,7.820685,-8.365218955003831,0.005,2,1.0,0.9,100,,-8.365218955003831,-8.585859,59.92519774106,1.0,-8.365218955003831,1.0,0.0049999994,200.0,59.92519774106,2.179301e-19,-9.221731,1.0,200.00000010221265
0.0033333334,500.0,500,7.8487306,-9.303343568790535,0.0033333334,2,1.0,0.9,100,,-9.303343568790535,-8.825021,62.76595872398296,1.0,-9.303343568790535,1.0,0.0033333336,200.0,62.76595872398296,5.4391416e-20,-9.344209,1.0,299.999969473632
0.0025,500.0,500,7.7678905,-7.854214859998035,0.0025,2,1.0,0.9,100,,-7.854214859998035,-8.582319,56.410018850582304,1.0,-7.854214859998035,1.0,0.0024999997,200.0,56.410018850582304,5.434597e-20,-9.031949,1.0,400.0
0.025405629,376.9205468815995,500,18.802896,-9.608038168000093,0.0010754532,1,0.7768395,0.9,100,11.313531,-9.608038168000093,-8.621248,67.50407909478658,1.3265395,-9.608038168000093,18.351421,0.002,200.0,67.50407909478658,2.1682963e-05,-9.084702,1.4446737,78.00434981121613
0.01,500.0,500,8.827652,-9.683938071347011,0.01,2,1.0,0.9,100,,-9.683938071347011,-9.683938,78.71459956885651,1.0,-9.683938071347011,1.0,0.009999998,200.0,78.71459956885651,3.5044917e-18,-10.540004,1.0,100.0
0.005,500.0,500,8.683997,-10.146364479116372,0.005,2,1.0,0.9,100,,-10.146364479116372,-9.91515,73.52448657710353,1.0,-10.146364479116372,1.0,0.0049999994,200.0,73.52448657710353,2.179301e-19,-10.544197,1.0,200.00000010221265
0.0033333334,500.0,500,8.669742,-9.853030075253436,0.0033333334,2,1.0,0.9,100,,-9.853030075253436,-9.8944435,75.42130155913321,1.0,-9.853030075253436,1.0,0.0033333336,200.0,75.42130155913321,5.4391416e-20,-10.411299,1.0,299.999969473632
