EpsThisIter,AvgEpLen,eRenyi2,MinNormIw,ESSClassic,AvgVanillaIw,VarJ,MaxVanillaIw,BatchSize,Delta,VarDiscRet,AvgRet,ESSRenyi,VanillaAvgRet,AvgNormIw,MaxNormIw,VarRet,MinVanillaIw,Bound,IterType,VarVanillaIw,VarNormIw,AvgDiscRet,J
100,200.0,3.107341,8.637734e-25,35.86918571850043,1.0097737,74.566086,4.360139,100,0.9,5214689.3583438685,-2000.1573408120528,32.18185527608749,-2000.1573408120528,0.010000002,0.043179363,5214689.3583438685,8.7221573e-23,-370.7038,1,1.8414422,0.00018059675,-2000.1573408120528,-32.313946
100,200.0,1.1044828,0.0008567444,91.63169467333125,1.0240421,25.323704,1.3193102,100,0.9,76886.61869216789,-36.85172778191522,90.54011770873257,-36.85172778191522,0.01,0.012883359,76886.61869216789,0.08773424,-108.42641,1,0.09673685,9.224786e-06,-36.85172778191522,-11.017331
100,200.0,3.94358,,33.09779007749177,1.2661397,9.057752,5.5395103,100,0.9,65.4553093103282,-8.2020729358513,25.35767049908126,-8.2020729358513,0.01,0.043751176,65.4553093103282,,-8.005205,1,3.2731786,0.00020417676,-8.2020729358513,-5.2125597
100,200.0,14.906648,,4.833400528981906,0.5912192,6.831638,18.018826,100,0.9,52.38325207373506,-7.918108527116166,6.708416414743422,-7.918108527116166,0.01,0.30477405,52.38325207373506,,-5.064966,1,6.9517426,0.0019888254,-7.918108527116166,-2.013313
100,200.0,nan,nan,nan,inf,nan,inf,200,0.9,53.535290842797465,-7.918108527116166,nan,-7.918108527116166,nan,nan,52.38325207373506,0.055497516,nan,,nan,nan,-7.381558883418076,nan
100,200.0,25.32402,,5.309552271740169,0.683763,9.026658,35.192516,200,0.9,45.68827250945629,-8.050405878036822,7.897640143766551,-8.050405878036822,0.005,0.2573444,45.68827250945629,,-5.7917423,1,17.229588,0.00092130556,-8.050405878036822,-2.979216
100,200.0,1.0,0.01,100.0,1.0,7.1789145,1.0,200,0.9,52.05739557448528,-7.870872310799728,200.0,-7.870872310799728,0.009999998,0.01,52.05739557448528,1.0,-8.676248,2,,3.5044917e-18,-7.870872310799728,-7.870872
100,200.0,nan,nan,nan,inf,nan,inf,300,0.9,59.16504020874443,-8.050405878036822,nan,-8.050405878036822,nan,nan,45.68827250945629,0.028415132,nan,,nan,nan,-8.441609765114295,nan
100,200.0,67.63668,,1.2281509783380369,0.34022304,4.833391,91.77356,300,0.9,55.34022521471273,-9.173034761877885,4.4354630849014836,-9.173034761877885,0.0033333332,0.8991509,55.34022521471273,,-4.099263,1,28.253057,0.0027120358,-9.173034761877885,-0.3462873
100,200.0,1.0,0.01,100.0,1.0,6.8117504,1.0,300,0.9,46.86862563269517,-7.410162602256852,300.0,-7.410162602256852,0.009999998,0.01,46.86862563269517,1.0,-8.2054825,2,,3.5044917e-18,-7.410162602256852,-7.410162
100,200.0,1.0,0.005,200.00000010221265,1.0,6.8642144,1.0,300,0.9,47.81168504064305,-8.411533618073562,300.0,-8.411533618073562,0.0049999994,0.005,47.81168504064305,1.0,-8.473224,2,,2.179301e-19,-8.411533618073562,-7.9108477
100,200.0,nan,nan,nan,inf,nan,inf,400,0.9,50.965764216718405,-9.173034761877885,nan,-9.173034761877885,nan,nan,55.34022521471273,0.010896384,nan,,nan,nan,-8.590849907501237,nan
100,200.0,12.323535,,44.80876948324422,1.3816067,18.915737,17.442642,400,0.9,56.686730536671604,-7.197745363520971,32.4582192625182,-7.197745363520971,0.0025,0.031562243,56.686730536671604,,-6.7484865,1,15.168941,4.966682e-05,-7.197745363520971,-5.3461113
100,200.0,1.0,0.01,100.0,1.0,7.1270766,1.0,400,0.9,51.308307764032236,-8.39310295380913,400.0,-8.39310295380913,0.009999998,0.01,51.308307764032236,1.0,-9.120326,2,,3.5044917e-18,-8.39310295380913,-8.393103
100,200.0,1.0,0.005,200.00000010221265,1.0,7.339707,1.0,400,0.9,57.41912839623698,-8.84571696369353,400.0,-8.84571696369353,0.0049999994,0.005,57.41912839623698,1.0,-9.165358,2,,2.179301e-19,-8.84571696369353,-8.61941
100,200.0,1.0,0.0033333334,299.999969473632,1.0,7.2289877,1.0,400,0.9,49.425809445599356,-8.230838510488624,400.0,-8.230838510488624,0.0033333336,0.0033333334,49.425809445599356,1.0,-8.938314,2,,5.4391416e-20,-8.230838510488624,-8.489886
100,200.0,nan,nan,nan,inf,nan,inf,500,0.9,52.611319819618856,-7.197745363520971,nan,-7.197745363520971,nan,nan,56.686730536671604,0.05733076,nan,,nan,nan,-8.25038060022865,nan
100,200.0,16.812403,,42.55606432727436,1.4215889,20.77362,23.583391,500,0.9,48.96687418512839,-7.093506899222116,29.739949022870277,-7.093506899222116,0.002,0.033178918,48.96687418512839,,-6.652534,1,21.766766,4.308299e-05,-7.093506899222116,-5.1874704
100,200.0,1.0,0.01,100.0,1.0,7.2529874,1.0,500,0.9,53.137198977698574,-8.347829306556275,500.0,-8.347829306556275,0.009999998,0.01,53.137198977698574,1.0,-9.113942,2,,3.5044917e-18,-8.347829306556275,-8.347829
100,200.0,1.0,0.005,200.00000010221265,1.0,7.1511793,1.0,500,0.9,50.03666806425209,-7.825138774146174,500.0,-7.825138774146174,0.0049999994,0.005,50.03666806425209,1.0,-8.628207,2,,2.179301e-19,-7.825138774146174,-8.086483
100,200.0,1.0,0.0033333334,299.999969473632,1.0,7.1258426,1.0,500,0.9,50.54290105227508,-7.928270899301153,500.0,-7.928270899301153,0.0033333336,0.0033333334,50.54290105227508,1.0,-8.476062,2,,5.4391416e-20,-7.928270899301153,-8.033746
100,200.0,1.0,0.0025,400.0,1.0,7.1890774,1.0,500,0.9,54.35405132429909,-7.148362914461418,500.0,-7.148362914461418,0.0024999997,0.0025,54.35405132429909,1.0,-8.1954565,2,,5.434597e-20,-7.148362914461418,-7.8124
100,200.0,78.77117,,5.977659980829474,0.7710638,18.498083,111.336784,500,0.9,50.19566165401707,-8.67173927387618,6.3474998535065685,-8.67173927387618,0.0019999999,0.28878748,50.19566165401707,,-5.256384,1,49.234043,0.00033124158,-8.67173927387618,-2.1775916
100,200.0,1.0,0.01,100.0,1.0,7.172215,1.0,500,0.9,51.96027249429981,-8.349970686786415,500.0,-8.349970686786415,0.009999998,0.01,51.96027249429981,1.0,-9.125395,2,,3.5044917e-18,-8.349970686786415,-8.349971
100,200.0,1.0,0.005,200.00000010221265,1.0,7.1432304,1.0,500,0.9,50.96907405435461,-7.799634848281487,500.0,-7.799634848281487,0.0049999994,0.005,50.96907405435461,1.0,-8.62311,2,,2.179301e-19,-7.799634848281487,-8.074802
100,200.0,1.0,0.0033333334,299.999969473632,1.0,7.079659,1.0,500,0.9,48.62929601198988,-7.569498896213529,500.0,-7.569498896213529,0.0033333336,0.0033333334,48.62929601198988,1.0,-8.354059,2,,5.4391416e-20,-7.569498896213529,-7.9063683
100,200.0,1.0,0.0025,400.0,1.0,7.0650687,1.0,500,0.9,49.304433163597736,-7.102470573428035,500.0,-7.102470573428035,0.0024999997,0.0025,49.304433163597736,1.0,-8.093106,2,,5.434597e-20,-7.102470573428035,-7.705394
100,200.0,28.856098,1.29377535e-23,17.492183982366324,1.0154172,23.733505,63.62085,500,0.9,48.92150858774268,-7.785954748486364,17.327359955835536,-7.785954748486364,0.002,0.12530977,48.92150858774268,6.568609e-21,-6.807277,1,28.498291,0.00011055791,-7.785954748486364,-4.9444475
