Delta,J,VarRet,AvgNormIw,Bound,MaxVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,MinVanillaIw,EpsThisIter,MinNormIw,MaxNormIw,VarNormIw,ESSRenyi,eRenyi2,AvgDiscRet,BatchSize,ESSClassic,VarVanillaIw,AvgRet,AvgEpLen,VanillaAvgRet,IterType
0.9,-7.236767,42.0871240186934,0.002,-7.777592,9.527377,9.599749,42.0871240186934,0.95456964,0.02693542,100,5.643469e-05,0.019961618,4.983217e-06,205.8022206383371,2.429517,-7.703151690871421,500,222.88467044078567,1.135181,-7.703151690871421,200.0,-7.703151690871421,1
0.9,-7.112582,44.29026991177637,0.009999998,-7.847626,1.0,6.6217346,44.29026991177637,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.112582520569187,500,100.0,,-7.112582520569187,200.0,-7.112582520569187,2
0.9,-7.1210966,54.97999288026526,0.0049999994,-7.6700964,1.0,7.009911,54.97999288026526,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-7.129610700959078,500,200.00000010221265,,-7.129610700959078,200.0,-7.129610700959078,2
0.9,-7.359866,51.21658778095925,0.0033333336,-7.8081226,1.0,7.055121,51.21658778095925,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-7.8374061190028295,500,299.999969473632,,-7.8374061190028295,200.0,-7.8374061190028295,2
0.9,-7.5276737,47.86276083714423,0.0024999997,-7.9158754,1.0,7.0186577,47.86276083714423,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-8.031096360557381,500,400.0,,-8.031096360557381,200.0,-8.031096360557381,2
0.9,-6.917677,48.254864897407714,0.0019999999,-7.522296,13.335495,10.247181,48.254864897407714,1.0682439,0.068453826,100,0.00012816142,0.024967136,6.870318e-06,164.89614693863044,3.0322115,-7.232336403367789,500,184.22013646817746,1.9600074,-7.232336403367789,200.0,-7.232336403367789,1
0.9,-7.6802006,52.10033255230871,0.009999998,-8.443024,1.0,7.181875,52.10033255230871,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.680200484880252,500,100.0,,-7.680200484880252,200.0,-7.680200484880252,2
0.9,-7.877149,56.78540293094612,0.0049999994,-8.425135,1.0,7.3441963,56.78540293094612,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-8.074096783487281,500,200.00000010221265,,-8.074096783487281,200.0,-8.074096783487281,2
0.9,-8.031499,51.349856321005994,0.0033333336,-8.478927,1.0,7.276761,51.349856321005994,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-8.340198427092826,500,299.999969473632,,-8.340198427092826,200.0,-8.340198427092826,2
0.9,-8.255932,55.42884934106246,0.0024999997,-8.643415,1.0,7.320054,55.42884934106246,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-8.92922858128484,500,400.0,,-8.92922858128484,200.0,-8.92922858128484,2
0.9,-8.115798,43.23842449304071,0.002,-8.500171,3.406288,7.5885196,43.23842449304071,0.99891096,0.79498875,100,0.001591711,0.006820003,6.273004e-07,406.5017736885453,1.2300069,-7.932259689028069,500,432.3346202909811,0.15648371,-7.932259689028069,200.0,-7.932259689028069,1
0.9,-6.546441,40.588196112714954,0.009999998,-7.26924,1.0,6.338952,40.588196112714954,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-6.54644137520976,500,100.0,,-6.54644137520976,200.0,-6.54644137520976,2
0.9,-7.33047,57.82069445093003,0.0049999994,-7.878734,1.0,7.0233254,57.82069445093003,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-8.114499879209665,500,200.00000010221265,,-8.114499879209665,200.0,-8.114499879209665,2
0.9,-7.99747,52.99704418717321,0.0033333336,-8.44537,1.0,7.1598554,52.99704418717321,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-9.331466521354399,500,299.999969473632,,-9.331466521354399,200.0,-9.331466521354399,2
0.9,-8.074947,47.653157100639845,0.0024999997,-8.46284,1.0,7.0894156,47.653157100639845,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-8.307380186095735,500,400.0,,-8.307380186095735,200.0,-8.307380186095735,2
0.9,-7.694024,49.45230499819617,0.0019999999,-8.183434,2.4943073,9.676467,49.45230499819617,0.9770696,6.182325e-13,100,1.265483e-15,0.0051056896,3.9736597e-06,251.26848739845676,1.9899033,-7.50186473623006,500,251.07612541196224,0.94837856,-7.50186473623006,200.0,-7.50186473623006,1
0.9,-6.7331705,45.41920909200379,0.009999998,-7.508103,1.0,6.705596,45.41920909200379,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-6.733170890982075,500,100.0,,-6.733170890982075,200.0,-6.733170890982075,2
0.9,-7.217108,44.90800461749198,0.0049999994,-7.7650676,1.0,6.70419,44.90800461749198,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-7.701044388120035,500,200.00000010221265,,-7.701044388120035,200.0,-7.701044388120035,2
0.9,-7.3488812,51.904137531139995,0.0033333336,-7.7962885,1.0,6.864926,51.904137531139995,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-7.612428943457383,500,299.999969473632,,-7.612428943457383,200.0,-7.612428943457383,2
0.9,-7.4075227,41.62284547110429,0.0024999997,-7.794989,1.0,6.757024,41.62284547110429,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-7.583448325680979,500,400.0,,-7.583448325680979,200.0,-7.583448325680979,2
0.9,-6.9822717,48.81573326156849,0.0019999999,-7.4217834,2.1477597,9.184763,48.81573326156849,1.1065044,1.2878306e-06,100,2.327746e-09,0.0038820626,3.5780336e-06,310.87538802871114,1.6083615,-7.101661009271908,500,264.1701931368607,1.0951929,-7.101661009271908,200.0,-7.101661009271908,1
0.9,-9.3407755,52.72036270628469,0.009999998,-10.103264,1.0,7.224483,52.72036270628469,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-9.34077673951794,500,100.0,,-9.34077673951794,200.0,-9.34077673951794,2
0.9,-9.132034,54.02297605119605,0.0049999994,-9.675051,1.0,7.271968,54.02297605119605,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-8.923291251526532,500,200.00000010221265,,-8.923291251526532,200.0,-8.923291251526532,2
0.9,-8.932417,56.229989025099144,0.0033333336,-9.375788,1.0,7.3409767,56.229989025099144,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-8.533183219373393,500,299.999969473632,,-8.533183219373393,200.0,-8.533183219373393,2
0.9,-9.006807,49.881339576173964,0.0024999997,-9.391044,1.0,7.2649627,49.881339576173964,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-9.229977229167776,500,400.0,,-9.229977229167776,200.0,-9.229977229167776,2
0.9,-8.649488,42.84629746907791,0.002,-9.02823,4.182472,9.516779,42.84629746907791,1.265683,0.79872614,100,0.0012621266,0.006609035,3.4077004e-06,411.6906164114645,1.2145042,-7.747099094470713,500,270.23799240993344,1.3647443,-7.747099094470713,200.0,-7.747099094470713,1
0.9,-8.111015,46.85441945487071,0.009999998,-8.87659,1.0,6.8107176,46.85441945487071,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-8.1110157131969,500,100.0,,-8.1110157131969,200.0,-8.1110157131969,2
0.9,-7.808152,47.28872596407889,0.0049999994,-8.349495,1.0,6.833197,47.28872596407889,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-7.505289679293189,500,200.00000010221265,,-7.505289679293189,200.0,-7.505289679293189,2
0.9,-7.823505,47.67883962642103,0.0033333336,-8.2691765,1.0,6.8456464,47.67883962642103,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-7.854208024992678,500,299.999969473632,,-7.854208024992678,200.0,-7.854208024992678,2
0.9,-7.845458,44.26924752104031,0.0024999997,-8.2314205,1.0,6.790084,44.26924752104031,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-7.911319967736786,500,400.0,,-7.911319967736786,200.0,-7.911319967736786,2
0.9,-7.7185426,51.63850558499381,0.0020000003,-8.083834,2.0533977,7.4143705,51.63850558499381,1.0921971,0.8304962,100,0.001520781,0.0037601232,8.4517507e-07,446.5519563445653,1.1196905,-7.5004882748904285,500,412.9257608405352,0.25205117,-7.5004882748904285,200.0,-7.5004882748904285,1
0.9,-7.233753,44.086132598355235,0.009999998,-8.007238,1.0,6.6064563,44.086132598355235,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.233753099705288,500,100.0,,-7.233753099705288,200.0,-7.233753099705288,2
0.9,-7.3201113,49.104527700334735,0.0049999994,-7.867048,1.0,6.79241,49.104527700334735,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-7.40646888698424,500,200.00000010221265,,-7.40646888698424,200.0,-7.40646888698424,2
0.9,-7.445801,45.534704876538164,0.0033333336,-7.8923726,1.0,6.768747,45.534704876538164,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-7.697180453580099,500,299.999969473632,,-7.697180453580099,200.0,-7.697180453580099,2
0.9,-7.485758,49.85663045262205,0.0024999997,-7.8725004,1.0,6.8341975,49.85663045262205,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-7.60562867991213,500,400.0,,-7.60562867991213,200.0,-7.60562867991213,2
0.9,-7.2588954,41.86240734581187,0.002,-7.6326456,1.4374068,7.862517,41.86240734581187,1.0211121,0.16821559,100,0.00032947527,0.002815375,1.364834e-06,428.293068465762,1.1674249,-6.784202070566008,500,372.98789956459433,0.35576782,-6.784202070566008,200.0,-6.784202070566008,1
0.9,-7.752255,50.558389115331295,0.009999998,-8.52144,1.0,7.074801,50.558389115331295,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.752255356539709,500,100.0,,-7.752255356539709,200.0,-7.752255356539709,2
0.9,-7.9498625,60.72916673528098,0.0049999994,-8.493758,1.0,7.4247146,60.72916673528098,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-8.147471039374544,500,200.00000010221265,,-8.147471039374544,200.0,-8.147471039374544,2
0.9,-8.071558,52.99073533478958,0.0033333336,-8.515647,1.0,7.366647,52.99073533478958,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-8.314947001623034,500,299.999969473632,,-8.314947001623034,200.0,-8.314947001623034,2
0.9,-7.84787,45.90967776706303,0.0024999997,-8.233869,1.0,7.225882,45.90967776706303,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-7.176806781039491,500,400.0,,-7.176806781039491,200.0,-7.176806781039491,2
0.9,-7.6559954,47.32746971768823,0.0020000006,-8.022111,1.3575805,7.563073,47.32746971768823,1.1600621,0.040792156,100,7.032754e-05,0.0023405307,6.584293e-07,444.6277667830311,1.1245362,-7.904063437249927,500,429.4505621104734,0.22151934,-7.904063437249927,200.0,-7.904063437249927,1
0.9,-7.02614,41.21522501609431,0.009999998,-7.800813,1.0,6.387728,41.21522501609431,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.026140494819934,500,100.0,,-7.026140494819934,200.0,-7.026140494819934,2
0.9,-6.894395,47.73569266837605,0.0049999994,-7.4421716,1.0,6.636871,47.73569266837605,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-6.762650265487945,500,200.00000010221265,,-6.762650265487945,200.0,-6.762650265487945,2
0.9,-6.960264,48.866823688514884,0.0033333336,-7.4075217,1.0,6.7453766,48.866823688514884,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-7.091999994823035,500,299.999969473632,,-7.091999994823035,200.0,-7.091999994823035,2
0.9,-7.251625,53.55286715330273,0.0024999997,-7.640399,1.0,6.9017453,53.55286715330273,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-8.12570950380285,500,400.0,,-8.12570950380285,200.0,-8.12570950380285,2
0.9,-7.2975755,51.66768177138814,0.002,-7.664505,8.657247,12.087558,51.66768177138814,1.1306939,0.8333874,100,0.0014741166,0.015313156,7.0152005e-06,449.04423889306304,1.113476,-7.652191628405657,500,181.7988687945359,2.2421784,-7.652191628405657,200.0,-7.652191628405657,1
