AvgEpLen,AvgRet,BatchSize,J,VarDiscRet,MaxVanillaIw,eRenyi2,EpsThisIter,AvgNormIw,ESSRenyi,MaxNormIw,Bound,VanillaAvgRet,MinVanillaIw,VarRet,AvgVanillaIw,VarJ,VarNormIw,VarVanillaIw,Delta,MinNormIw,ESSClassic,AvgDiscRet,IterType
200.0,-7.589742782726282,500,-7.6959133,54.84839701971812,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.149867,-7.589742782726282,1.0,54.84839701971812,1.0,7.1581197,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-7.589742782726282,2
200.0,-7.61889289898992,500,-7.6766577,46.727666384754365,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.069793,-7.61889289898992,1.0,46.727666384754365,1.0,7.0707293,5.434597e-20,,0.9,0.0025,400.0,-7.61889289898992,2
200.0,-8.918013521128833,500,-5.8087616,61.154726848588474,16.788298,11.890676,100,0.002,42.04975555162915,0.030392317,-7.0648184,-8.918013521128833,,61.154726848588474,1.1047724,19.68657,4.1916675e-05,12.790057,0.9,,43.636831482523164,-8.918013521128833,1
200.0,-7.095181038518019,500,-7.095181,52.21843889377854,1.0,1.0,100,0.009999998,500.0,0.01,-7.8883586,-7.095181038518019,1.0,52.21843889377854,1.0,7.1900105,3.5044917e-18,,0.9,0.01,100.0,-7.095181038518019,2
200.0,-8.418492127104631,500,-7.756837,63.55684944076931,1.0,1.0,100,0.0049999994,500.0,0.005,-8.318899,-8.418492127104631,1.0,63.55684944076931,1.0,7.5991154,2.179301e-19,,0.9,0.005,200.00000010221265,-8.418492127104631,2
200.0,-8.320617496635181,500,-7.9447637,56.428669516236866,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.416118,-8.320617496635181,1.0,56.428669516236866,1.0,7.5623937,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-8.320617496635181,2
200.0,-8.11877114456663,500,-7.988265,51.19701375863054,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.39647,-8.11877114456663,1.0,51.19701375863054,1.0,7.454481,5.434597e-20,,0.9,0.0025,400.0,-8.11877114456663,2
200.0,-8.681755231345626,500,-4.4521246,52.987905871385315,93.09983,65.83339,100,0.002,7.59493025425911,0.12354438,-7.414542,-8.681755231345626,,52.987905871385315,1.5071479,40.59919,0.00020468996,116.23805,0.9,,9.60243038293575,-8.681755231345626,1
200.0,-7.6786022109856695,500,-7.6786017,56.45529619715818,1.0,1.0,100,0.009999998,500.0,0.01,-8.476758,-7.6786022109856695,1.0,56.45529619715818,1.0,7.4760113,3.5044917e-18,,0.9,0.01,100.0,-7.6786022109856695,2
200.0,-8.9292153103818,500,-8.303908,59.557803330838155,1.0,1.0,100,0.0049999994,500.0,0.005,-8.86829,-8.9292153103818,1.0,59.557803330838155,1.0,7.6037817,2.179301e-19,,0.9,0.005,200.00000010221265,-8.9292153103818,2
200.0,-6.658719255613997,500,-7.7555127,41.715386512889324,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.223431,-6.658719255613997,1.0,41.715386512889324,1.0,7.2741013,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-6.658719255613997,2
200.0,-8.060471121310199,500,-7.831752,49.16319603940108,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.237443,-8.060471121310199,1.0,49.16319603940108,1.0,7.202065,5.434597e-20,,0.9,0.0025,400.0,-8.060471121310199,2
200.0,-8.506935869662408,500,-7.8773837,53.64236012837313,1.7719381,1.2304955,100,0.002,406.3403881984208,0.0034463739,-8.279897,-8.506935869662408,0.020373847,53.64236012837313,1.0282912,8.072135,9.55327e-07,0.25253662,0.9,3.9626608e-05,403.76172363127023,-8.506935869662408,1
200.0,-7.633602136041779,500,-7.633602,54.34818643251909,1.0,1.0,100,0.009999998,500.0,0.01,-8.441918,-7.633602136041779,1.0,54.34818643251909,1.0,7.335169,3.5044917e-18,,0.9,0.01,100.0,-7.633602136041779,2
200.0,-7.614403024771687,500,-7.6240025,53.70200352188163,1.0,1.0,100,0.0049999994,500.0,0.005,-8.195568,-7.614403024771687,1.0,53.70200352188163,1.0,7.313339,2.179301e-19,,0.9,0.005,200.00000010221265,-7.614403024771687,2
200.0,-7.871963641338043,500,-7.706656,55.22171443584793,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.174284,-7.871963641338043,1.0,55.22171443584793,1.0,7.341216,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-7.871963641338043,2
200.0,-5.934501032532593,500,-7.263617,38.3048055074932,1.0,1.0,100,0.0024999997,500.0,0.0025,-7.6685944,-5.934501032532593,1.0,38.3048055074932,1.0,7.105588,5.434597e-20,,0.9,0.0025,400.0,-5.934501032532593,2
200.0,-7.98752853410014,500,-6.9723263,59.839415081884084,4.2282276,3.3225567,100,0.002,150.4865198750873,0.008025573,-7.6325817,-7.98752853410014,5.004186e-16,59.839415081884084,1.0536888,11.849416,8.577712e-06,2.3808725,0.9,9.498415e-19,159.2286004044855,-7.98752853410014,1
200.0,-8.734720229686273,500,-8.73472,57.29321983365473,1.0,1.0,100,0.009999998,500.0,0.01,-9.548265,-8.734720229686273,1.0,57.29321983365473,1.0,7.531287,3.5044917e-18,,0.9,0.01,100.0,-8.734720229686273,2
200.0,-7.329669935488035,500,-8.032195,51.766596732471676,1.0,1.0,100,0.0049999994,500.0,0.005,-8.607458,-7.329669935488035,1.0,51.766596732471676,1.0,7.3809314,2.179301e-19,,0.9,0.005,200.00000010221265,-7.329669935488035,2
200.0,-8.034861261192242,500,-8.033084,43.25942436721879,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.502785,-8.034861261192242,1.0,43.25942436721879,1.0,7.1129723,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-8.034861261192242,2
200.0,-9.481453611445785,500,-8.395176,62.510716083146214,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.801949,-9.481453611445785,1.0,62.510716083146214,1.0,7.335565,5.434597e-20,,0.9,0.0025,400.0,-9.481453611445785,2
200.0,-7.173524067673578,500,-8.150804,49.22236419289035,1.0046686,1.0000458,100,0.0020000003,499.97711286409617,0.002010338,-8.514641,-7.173524067673578,0.97461665,49.22236419289035,0.9995022,7.280884,1.803758e-10,4.504889e-05,0.9,0.0019502041,499.9773953985693,-7.173524067673578,1
200.0,-7.722022878055323,500,-7.7220225,52.497255855889264,1.0,1.0,100,0.009999998,500.0,0.01,-8.472457,-7.722022878055323,1.0,52.497255855889264,1.0,7.20918,3.5044917e-18,,0.9,0.01,100.0,-7.722022878055323,2
200.0,-8.634873451613668,500,-8.178448,58.61153944894064,1.0,1.0,100,0.0049999994,500.0,0.005,-8.74543,-8.634873451613668,1.0,58.61153944894064,1.0,7.4301534,2.179301e-19,,0.9,0.005,200.00000010221265,-8.634873451613668,2
200.0,-7.32408260552599,500,-7.893659,58.31278525139202,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.364251,-7.32408260552599,1.0,58.31278525139202,1.0,7.497347,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-7.32408260552599,2
200.0,-7.966970029290658,500,-7.9119873,54.8336347647351,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.319532,-7.966970029290658,1.0,54.8336347647351,1.0,7.465252,5.434597e-20,,0.9,0.0025,400.0,-7.966970029290658,2
200.0,-6.7247092679039895,500,-6.389443,43.24959012017518,5.9601135,4.6645184,100,0.002,107.19220331123742,0.008638181,-7.176713,-6.7247092679039895,5.4491424e-21,43.24959012017518,1.3799466,13.647115,1.3190888e-05,6.279694,0.9,7.897614e-24,116.5195214521254,-6.7247092679039895,1
200.0,-7.463147409098639,500,-7.463147,45.9881351207675,1.0,1.0,100,0.009999998,500.0,0.01,-8.277209,-7.463147409098639,1.0,45.9881351207675,1.0,6.7474627,3.5044917e-18,,0.9,0.01,100.0,-7.463147409098639,2
200.0,-8.336742131547046,500,-7.899945,52.17743071380903,1.0,1.0,100,0.0049999994,500.0,0.005,-8.477036,-8.336742131547046,1.0,52.17743071380903,1.0,6.9844646,2.179301e-19,,0.9,0.005,200.00000010221265,-8.336742131547046,2
200.0,-8.063914467287761,500,-7.954602,48.291572968447035,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.425796,-8.063914467287761,1.0,48.291572968447035,1.0,6.9616113,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-8.063914467287761,2
200.0,-7.641691120245987,500,-7.8763733,53.443335177478865,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.284439,-7.641691120245987,1.0,53.443335177478865,1.0,7.0422726,5.434597e-20,,0.9,0.0025,400.0,-7.641691120245987,2
200.0,-8.742163378395375,500,-7.0928664,55.620100887844025,9.916868,1.9124407,100,0.002,261.44602082627534,0.012133791,-7.5976076,-8.742163378395375,0.7347383,55.620100887844025,1.6345869,13.267089,1.117977e-05,7.4677353,0.9,0.00089898956,131.9486666409466,-8.742163378395375,1
200.0,-7.009167754473406,500,-7.0091677,51.82592027501156,1.0,1.0,100,0.009999998,500.0,0.01,-7.8103576,-7.009167754473406,1.0,51.82592027501156,1.0,7.1629367,3.5044917e-18,,0.9,0.01,100.0,-7.009167754473406,2
200.0,-9.45788393335358,500,-8.233526,58.590482269371535,1.0,1.0,100,0.0049999994,500.0,0.005,-8.809011,-9.45788393335358,1.0,58.590482269371535,1.0,7.493675,2.179301e-19,,0.9,0.005,200.00000010221265,-9.45788393335358,2
200.0,-8.228778878720796,500,-8.231944,49.4777607965452,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.701825,-8.228778878720796,1.0,49.4777607965452,1.0,7.332424,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-8.228778878720796,2
200.0,-7.07014116518369,500,-7.941493,59.63021074819819,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.348422,-7.07014116518369,1.0,59.63021074819819,1.0,7.438743,5.434597e-20,,0.9,0.0025,400.0,-7.07014116518369,2
200.0,-8.898189696583433,500,-7.8505054,44.24393406118483,2.6506677,1.3604137,100,0.0019999999,367.5352658001326,0.0042955843,-8.275026,-8.898189696583433,0.7719785,44.24393406118483,1.234136,8.4840555,1.7227397e-06,0.6559728,0.9,0.0012510428,349.69350210003483,-8.898189696583433,1
200.0,-8.179639131962292,500,-8.179639,55.506215938013604,1.0,1.0,100,0.009999998,500.0,0.01,-8.9787035,-8.179639131962292,1.0,55.506215938013604,1.0,7.4129047,3.5044917e-18,,0.9,0.01,100.0,-8.179639131962292,2
200.0,-8.772332204619385,500,-8.4759865,55.033425668808036,1.0,1.0,100,0.0049999994,500.0,0.005,-9.052812,-8.772332204619385,1.0,55.033425668808036,1.0,7.403036,2.179301e-19,,0.9,0.005,200.00000010221265,-8.772332204619385,2
200.0,-8.840081892868284,500,-8.59735,62.96500764360635,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-9.068326,-8.840081892868284,1.0,62.96500764360635,1.0,7.5726185,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-8.840081892868284,2
200.0,-9.925204277946472,500,-8.929315,57.797597669783634,1.0,1.0,100,0.0024999997,500.0,0.0025,-9.337192,-9.925204277946472,1.0,57.797597669783634,1.0,7.592358,5.434597e-20,,0.9,0.0025,400.0,-9.925204277946472,2
200.0,-7.866496212853786,500,-8.306623,50.844110038260474,1.7434373,1.3487048,100,0.0020000006,370.7260435880003,0.002958491,-8.730298,-7.866496212853786,6.2330497e-07,50.844110038260474,1.178599,8.868815,1.8522028e-06,0.64322156,0.9,1.0577049e-09,341.96802878370244,-7.866496212853786,1
200.0,-8.752302098924412,500,-8.752301,62.1305299590359,1.0,1.0,100,0.009999998,500.0,0.01,-9.550945,-8.752302098924412,1.0,62.1305299590359,1.0,7.842782,3.5044917e-18,,0.9,0.01,100.0,-8.752302098924412,2
200.0,-7.475608305416028,500,-8.1139555,59.94220631909244,1.0,1.0,100,0.0049999994,500.0,0.005,-8.683693,-7.475608305416028,1.0,59.94220631909244,1.0,7.799583,2.179301e-19,,0.9,0.005,200.00000010221265,-7.475608305416028,2
200.0,-7.668601004548845,500,-7.9655037,50.45395855903431,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.430693,-7.668601004548845,1.0,50.45395855903431,1.0,7.566343,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-7.668601004548845,2
200.0,-7.895475799783826,500,-7.9479966,53.52346136294812,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.350862,-7.895475799783826,1.0,53.52346136294812,1.0,7.4956746,5.434597e-20,,0.9,0.0025,400.0,-7.895475799783826,2
200.0,-8.401667819908907,500,-8.0300665,55.904592228357714,1.0983835,1.0149692,100,0.002,492.62577166864827,0.002130531,-8.395797,-8.401667819908907,0.35066628,55.904592228357714,1.031089,7.648563,1.7262188e-07,0.045880504,0.9,0.00068018626,479.3545845417609,-8.401667819908907,1
200.0,-8.160113813493867,500,-8.160113,54.43441027266372,1.0,1.0,100,0.009999998,500.0,0.01,-8.973413,-8.160113813493867,1.0,54.43441027266372,1.0,7.3409853,3.5044917e-18,,0.9,0.01,100.0,-8.160113813493867,2
200.0,-8.034666668727096,500,-8.097389,54.79516845797551,1.0,1.0,100,0.0049999994,500.0,0.005,-8.67248,-8.034666668727096,1.0,54.79516845797551,1.0,7.353406,2.179301e-19,,0.9,0.005,200.00000010221265,-8.034666668727096,2
200.0,-8.438611793869034,500,-8.211131,58.60484621912878,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.68069,-8.438611793869034,1.0,58.60484621912878,1.0,7.444048,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-8.438611793869034,2
200.0,-8.009772707498035,500,-8.160791,54.99014859408273,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.567441,-8.009772707498035,1.0,54.99014859408273,1.0,7.4281936,5.434597e-20,,0.9,0.0025,400.0,-8.009772707498035,2
200.0,-8.698770562683805,500,-7.8063097,54.02407333938761,13.949567,1.597904,100,0.002,312.90991846579317,0.01641183,-8.26608,-8.698770562683805,0.7495384,54.02407333938761,1.6999404,17.582857,1.6147014e-05,11.6654,0.9,0.0008818408,99.42966294717873,-8.698770562683805,1
200.0,-8.045508250334674,500,-8.045508,53.92650317234225,1.0,1.0,100,0.009999998,500.0,0.01,-8.832284,-8.045508250334674,1.0,53.92650317234225,1.0,7.3066573,3.5044917e-18,,0.9,0.01,100.0,-8.045508250334674,2
200.0,-8.339637838993777,500,-8.192574,53.62822544460964,1.0,1.0,100,0.0049999994,500.0,0.005,-8.763107,-8.339637838993777,1.0,53.62822544460964,1.0,7.298028,2.179301e-19,,0.9,0.005,200.00000010221265,-8.339637838993777,2
200.0,-7.643022730669968,500,-8.009391,49.18054084535806,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.475229,-7.643022730669968,1.0,49.18054084535806,1.0,7.1975117,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-7.643022730669968,2
200.0,-8.114722398938618,500,-8.035723,47.35133358257456,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.439151,-8.114722398938618,1.0,47.35133358257456,1.0,7.1115866,5.434597e-20,,0.9,0.0025,400.0,-8.114722398938618,2
200.0,-8.102609167192078,500,-7.877543,52.80231655844781,3.247096,1.2573134,100,0.002,397.67333399133355,0.005657319,-8.282149,-8.102609167192078,0.7890534,52.80231655844781,1.1479275,9.183037,2.2913428e-06,0.7548472,0.9,0.0013747443,318.1288931903915,-8.102609167192078,1
200.0,-7.946334400110821,500,-7.9463344,49.85902459067427,1.0,1.0,100,0.009999998,500.0,0.01,-8.745385,-7.946334400110821,1.0,49.85902459067427,1.0,7.025698,3.5044917e-18,,0.9,0.01,100.0,-7.946334400110821,2
200.0,-8.748695074856055,500,-8.347514,57.90120449147219,1.0,1.0,100,0.0049999994,500.0,0.005,-8.912528,-8.748695074856055,1.0,57.90120449147219,1.0,7.314524,2.179301e-19,,0.9,0.005,200.00000010221265,-8.748695074856055,2
200.0,-9.361214937246906,500,-8.685415,56.26973080439601,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-9.1553545,-9.361214937246906,1.0,56.26973080439601,1.0,7.380077,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-9.361214937246906,2
200.0,-8.375656035361839,500,-8.607975,52.729371897164754,1.0,1.0,100,0.0024999997,500.0,0.0025,-9.014955,-8.375656035361839,1.0,52.729371897164754,1.0,7.3428645,5.434597e-20,,0.9,0.0025,400.0,-8.375656035361839,2
200.0,-8.33655866604042,500,-7.288191,51.47850341063015,64.811005,2.735821,100,0.002,182.76049435004245,0.09599085,-7.8902807,-8.33655866604042,0.719666,51.47850341063015,1.3503579,17.718813,3.647287e-05,16.62676,0.9,0.0010658893,49.505036188586445,-8.33655866604042,1
200.0,-8.285072729754196,500,-8.285072,60.906236865207774,1.0,1.0,100,0.009999998,500.0,0.01,-9.09747,-8.285072729754196,1.0,60.906236865207774,1.0,7.7651258,3.5044917e-18,,0.9,0.01,100.0,-8.285072729754196,2
200.0,-8.430924167428321,500,-8.357998,66.0172348061245,1.0,1.0,100,0.0049999994,500.0,0.005,-8.93245,-8.430924167428321,1.0,66.0172348061245,1.0,7.926691,2.179301e-19,,0.9,0.005,200.00000010221265,-8.430924167428321,2
200.0,-7.416841200898873,500,-8.04428,46.07939871535975,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.513318,-7.416841200898873,1.0,46.07939871535975,1.0,7.5691037,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-7.416841200898873,2
200.0,-8.706868380669379,500,-8.209926,52.35698875530077,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.618079,-8.706868380669379,1.0,52.35698875530077,1.0,7.4839277,5.434597e-20,,0.9,0.0025,400.0,-8.706868380669379,2
200.0,-9.130618496530992,500,-8.339696,55.23535837567583,1.5138841,1.2106557,100,0.002,412.99933948527115,0.0031027705,-8.741375,-9.130618496530992,0.0029339527,55.23535837567583,0.9758273,8.781777,1.5346358e-06,0.36533493,0.9,6.0132625e-06,361.5612206432333,-9.130618496530992,1
200.0,-8.678538594994135,500,-8.678538,52.40670404110917,1.0,1.0,100,0.009999998,500.0,0.01,-9.475925,-8.678538594994135,1.0,52.40670404110917,1.0,7.2029605,3.5044917e-18,,0.9,0.01,100.0,-8.678538594994135,2
200.0,-8.26134540537053,500,-8.469942,59.52287955372089,1.0,1.0,100,0.0049999994,500.0,0.005,-9.03378,-8.26134540537053,1.0,59.52287955372089,1.0,7.446385,2.179301e-19,,0.9,0.005,200.00000010221265,-8.26134540537053,2
200.0,-6.707012808089108,500,-7.882299,54.595787979049945,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-8.346191,-6.707012808089108,1.0,54.595787979049945,1.0,7.461436,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-6.707012808089108,2
200.0,-8.731303982503007,500,-8.09455,57.96866390290585,1.0,1.0,100,0.0024999997,500.0,0.0025,-8.502383,-8.731303982503007,1.0,57.96866390290585,1.0,7.499145,5.434597e-20,,0.9,0.0025,400.0,-8.731303982503007,2
200.0,-9.547531609352301,500,-8.292462,60.48033955640842,2.083714,1.1667438,100,0.002,428.54311215408944,0.0038609635,-8.686854,-9.547531609352301,0.812399,60.48033955640842,1.0793751,8.583381,9.224384e-07,0.26867184,0.9,0.0015053136,406.4550324081161,-9.547531609352301,1
200.0,-8.132561634420409,500,-8.132562,62.190152864862725,1.0,1.0,100,0.009999998,500.0,0.01,-8.943218,-8.132561634420409,1.0,62.190152864862725,1.0,7.8465433,3.5044917e-18,,0.9,0.01,100.0,-8.132561634420409,2
200.0,-8.525855237851774,500,-8.329208,56.231210611340494,1.0,1.0,100,0.0049999994,500.0,0.005,-8.90243,-8.525855237851774,1.0,56.231210611340494,1.0,7.6588016,2.179301e-19,,0.9,0.005,200.00000010221265,-8.525855237851774,2
200.0,-9.424793463143056,500,-8.694404,59.82343194718152,1.0,1.0,100,0.0033333336,500.0,0.0033333334,-9.164679,-9.424793463143056,1.0,59.82343194718152,1.0,7.688517,5.4391416e-20,,0.9,0.0033333334,299.999969473632,-9.424793463143056,2
